window_s,model,rank,feature,importance
30,ridge,1,P__last,0.0
30,ridge,2,P__delta_t0,0.0
30,ridge,3,P__mean,0.0
30,ridge,4,P__std,0.0
30,ridge,5,P__slope,0.0
30,ridge,6,TAVG__last,0.0
30,ridge,7,TAVG__delta_t0,0.0
30,ridge,8,TAVG__mean,0.0
30,ridge,9,TAVG__std,0.0
30,ridge,10,TAVG__slope,0.0
30,ridge,11,THA__last,0.0
30,ridge,12,THA__delta_t0,0.0
30,ridge,13,THA__mean,0.0
30,ridge,14,THA__std,0.0
30,ridge,15,THA__slope,0.0
30,ridge,16,THB__last,0.0
30,ridge,17,THB__delta_t0,0.0
30,ridge,18,THB__mean,0.0
30,ridge,19,THB__std,0.0
30,ridge,20,THB__slope,0.0
30,random_forest,1,P__last,0.0
30,random_forest,2,P__delta_t0,0.0
30,random_forest,3,P__mean,0.0
30,random_forest,4,P__std,0.0
30,random_forest,5,P__slope,0.0
30,random_forest,6,TAVG__last,0.0
30,random_forest,7,TAVG__delta_t0,0.0
30,random_forest,8,TAVG__mean,0.0
30,random_forest,9,TAVG__std,0.0
30,random_forest,10,TAVG__slope,0.0
30,random_forest,11,THA__last,0.0
30,random_forest,12,THA__delta_t0,0.0
30,random_forest,13,THA__mean,0.0
30,random_forest,14,THA__std,0.0
30,random_forest,15,THA__slope,0.0
30,random_forest,16,THB__last,0.0
30,random_forest,17,THB__delta_t0,0.0
30,random_forest,18,THB__mean,0.0
30,random_forest,19,THB__std,0.0
30,random_forest,20,THB__slope,0.0
30,gradient_boosting,1,P__last,0.0
30,gradient_boosting,2,P__delta_t0,0.0
30,gradient_boosting,3,P__mean,0.0
30,gradient_boosting,4,P__std,0.0
30,gradient_boosting,5,P__slope,0.0
30,gradient_boosting,6,TAVG__last,0.0
30,gradient_boosting,7,TAVG__delta_t0,0.0
30,gradient_boosting,8,TAVG__mean,0.0
30,gradient_boosting,9,TAVG__std,0.0
30,gradient_boosting,10,TAVG__slope,0.0
30,gradient_boosting,11,THA__last,0.0
30,gradient_boosting,12,THA__delta_t0,0.0
30,gradient_boosting,13,THA__mean,0.0
30,gradient_boosting,14,THA__std,0.0
30,gradient_boosting,15,THA__slope,0.0
30,gradient_boosting,16,THB__last,0.0
30,gradient_boosting,17,THB__delta_t0,0.0
30,gradient_boosting,18,THB__mean,0.0
30,gradient_boosting,19,THB__std,0.0
30,gradient_boosting,20,THB__slope,0.0
