window_s,feature,base_feature,train_abs_correlation,flagged
30,P__std,P,0.0,False
30,TAVG__mean,TAVG,0.0,False
30,TAVG__std,TAVG,0.0,False
30,TAVG__slope,TAVG,0.0,False
30,THA__mean,THA,0.0,False
30,THA__std,THA,0.0,False
30,THA__slope,THA,0.0,False
30,THB__mean,THB,0.0,False
30,THB__std,THB,0.0,False
30,THB__slope,THB,0.0,False
30,TCA__mean,TCA,0.0,False
30,TCA__std,TCA,0.0,False
30,TCB__slope,TCB,0.0,False
30,PSGA__std,PSGA,0.0,False
30,PSGA__slope,PSGA,0.0,False
30,PSGB__std,PSGB,0.0,False
30,PSGB__slope,PSGB,0.0,False
30,WFWA__std,WFWA,0.0,False
30,WFWA__slope,WFWA,0.0,False
30,WFWB__mean,WFWB,0.0,False
30,WFWB__std,WFWB,0.0,False
30,WFWB__slope,WFWB,0.0,False
30,WSTA__mean,WSTA,0.0,False
30,WSTB__mean,WSTB,0.0,False
30,WSTB__std,WSTB,0.0,False
30,WSTB__slope,WSTB,0.0,False
30,VOL__std,VOL,0.0,False
30,VOL__slope,VOL,0.0,False
30,LVPZ__mean,LVPZ,0.0,False
30,QMWT__mean,QMWT,0.0,False
30,QMWT__std,QMWT,0.0,False
30,QMWT__slope,QMWT,0.0,False
30,LSGA__std,LSGA,0.0,False
30,LSGA__slope,LSGA,0.0,False
30,LSGB__mean,LSGB,0.0,False
30,LSGB__slope,LSGB,0.0,False
30,QMGA__mean,QMGA,0.0,False
30,QMGB__mean,QMGB,0.0,False
30,QMGB__std,QMGB,0.0,False
30,QMGB__slope,QMGB,0.0,False
30,NSGA__mean,NSGA,0.0,False
30,NSGA__std,NSGA,0.0,False
30,NSGB__mean,NSGB,0.0,False
30,NSGB__std,NSGB,0.0,False
30,NSGB__slope,NSGB,0.0,False
30,TSAT__std,TSAT,0.0,False
30,RHMT__last,RHMT,0.0,False
30,RHMT__delta_t0,RHMT,0.0,False
30,RHMT__mean,RHMT,0.0,False
30,RHMT__std,RHMT,0.0,False
30,RHFL__last,RHFL,0.0,False
30,RHFL__delta_t0,RHFL,0.0,False
30,RHFL__mean,RHFL,0.0,False
30,RHFL__std,RHFL,0.0,False
30,RHFL__slope,RHFL,0.0,False
30,RH__mean,RH,0.0,False
30,RH__std,RH,0.0,False
30,RH__slope,RH,0.0,False
30,PWNT__mean,PWNT,0.0,False
30,PWNT__slope,PWNT,0.0,False
30,PWR__mean,PWR,0.0,False
30,PWR__std,PWR,0.0,False
30,PWR__slope,PWR,0.0,False
30,TFSB__mean,TFSB,0.0,False
30,TFSB__std,TFSB,0.0,False
30,TFPK__std,TFPK,0.0,False
30,TF__std,TF,0.0,False
60,P__mean,P,0.0,False
60,P__std,P,0.0,False
60,P__slope,P,0.0,False
60,TAVG__mean,TAVG,0.0,False
60,TAVG__std,TAVG,0.0,False
60,TAVG__slope,TAVG,0.0,False
60,THA__std,THA,0.0,False
60,THA__slope,THA,0.0,False
60,THB__mean,THB,0.0,False
60,TCA__std,TCA,0.0,False
60,TCA__slope,TCA,0.0,False
60,TCB__mean,TCB,0.0,False
60,TCB__std,TCB,0.0,False
60,TCB__slope,TCB,0.0,False
60,PSGA__std,PSGA,0.0,False
60,PSGA__slope,PSGA,0.0,False
60,PSGB__std,PSGB,0.0,False
60,PSGB__slope,PSGB,0.0,False
60,WFWA__mean,WFWA,0.0,False
60,WFWA__slope,WFWA,0.0,False
60,WFWB__std,WFWB,0.0,False
60,WFWB__slope,WFWB,0.0,False
60,WSTA__mean,WSTA,0.0,False
60,WSTA__std,WSTA,0.0,False
60,WSTA__slope,WSTA,0.0,False
60,WSTB__mean,WSTB,0.0,False
60,WSTB__std,WSTB,0.0,False
60,WSTB__slope,WSTB,0.0,False
60,VOL__mean,VOL,0.0,False
60,VOL__std,VOL,0.0,False
60,VOL__slope,VOL,0.0,False
60,LVPZ__slope,LVPZ,0.0,False
60,QMWT__mean,QMWT,0.0,False
60,QMWT__slope,QMWT,0.0,False
60,LSGA__std,LSGA,0.0,False
60,LSGB__std,LSGB,0.0,False
60,LSGB__slope,LSGB,0.0,False
60,QMGA__mean,QMGA,0.0,False
60,QMGA__slope,QMGA,0.0,False
60,QMGB__mean,QMGB,0.0,False
60,QMGB__std,QMGB,0.0,False
60,QMGB__slope,QMGB,0.0,False
60,NSGA__slope,NSGA,0.0,False
60,NSGB__mean,NSGB,0.0,False
60,NSGB__std,NSGB,0.0,False
60,NSGB__slope,NSGB,0.0,False
60,TSAT__std,TSAT,0.0,False
60,TSAT__slope,TSAT,0.0,False
60,RHMT__last,RHMT,0.0,False
60,RHMT__delta_t0,RHMT,0.0,False
60,RHMT__mean,RHMT,0.0,False
60,RHFL__last,RHFL,0.0,False
60,RHFL__delta_t0,RHFL,0.0,False
60,RHFL__mean,RHFL,0.0,False
60,RHFL__slope,RHFL,0.0,False
60,RH__slope,RH,0.0,False
60,PWNT__mean,PWNT,0.0,False
60,PWNT__std,PWNT,0.0,False
60,PWR__mean,PWR,0.0,False
60,PWR__std,PWR,0.0,False
60,PWR__slope,PWR,0.0,False
60,TFSB__slope,TFSB,0.0,False
60,TFPK__std,TFPK,0.0,False
60,TF__std,TF,0.0,False
120,P__mean,P,0.999960871869548,True
120,P__slope,P,0.9999589196764634,True
120,P__std,P,0.9999455782376624,True
120,P__last,P,0.9999395943791385,True
120,P__delta_t0,P,0.9999395943791385,True
120,TSAT__mean,TSAT,0.9998556683062068,True
120,TSAT__slope,TSAT,0.9998526256530194,True
120,TSAT__std,TSAT,0.999836147115415,True
120,TSAT__last,TSAT,0.9998318551493373,True
120,TSAT__delta_t0,TSAT,0.9998318551493373,True
120,LVPZ__mean,LVPZ,0.9988057393737277,True
120,VOL__mean,VOL,0.9988057188828176,True
120,LVPZ__slope,LVPZ,0.998724299367495,True
120,VOL__slope,VOL,0.9987242792613548,True
120,LVPZ__std,LVPZ,0.9983443609857217,True
120,VOL__std,VOL,0.9983443435062702,True
120,LVPZ__last,LVPZ,0.9982049182039757,True
120,LVPZ__delta_t0,LVPZ,0.9982049182039757,True
120,VOL__delta_t0,VOL,0.9982049012752519,True
120,VOL__last,VOL,0.9982049012752517,True
120,PWNT__std,PWNT,0.7569885790557526,False
120,PWNT__delta_t0,PWNT,0.7448336461964116,False
120,PWNT__last,PWNT,0.7448336461964116,False
120,PWNT__slope,PWNT,0.7421232183100351,False
120,PWNT__mean,PWNT,0.7415167559172678,False
120,PSGA__std,PSGA,0.7363908675641389,False
120,PSGB__std,PSGB,0.7363887302523112,False
120,TFSB__std,TFSB,0.7349739036575879,False
120,RHMT__mean,RHMT,0.7342584880762919,False
120,TAVG__mean,TAVG,0.733204507166368,False
120,PSGA__delta_t0,PSGA,0.7285405399919339,False
120,PSGA__last,PSGA,0.7285405399919339,False
120,PSGB__last,PSGB,0.7285385099653706,False
120,PSGB__delta_t0,PSGB,0.7285385099653705,False
120,PSGA__slope,PSGA,0.726372000397822,False
120,PSGB__slope,PSGB,0.7263696334589795,False
120,PSGA__mean,PSGA,0.7258876539633997,False
120,PSGB__mean,PSGB,0.7258852115898481,False
120,RHMT__slope,RHMT,0.7248947550680468,False
120,TAVG__slope,TAVG,0.7238529595344559,False
120,WSTB__mean,WSTB,0.7234132744847517,False
120,WSTB__slope,WSTB,0.7234132644336599,False
120,WSTB__delta_t0,WSTB,0.7234132192035396,False
120,WSTB__last,WSTB,0.7234132192035395,False
120,WSTB__std,WSTB,0.723413122393499,False
120,WSTA__std,WSTA,0.7233978828005521,False
120,WSTA__last,WSTA,0.7233978130138629,False
120,WSTA__delta_t0,WSTA,0.7233978130138626,False
120,WSTA__slope,WSTA,0.723397732894316,False
120,WSTA__mean,WSTA,0.7233977150897819,False
120,TFSB__last,TFSB,0.7198487664351585,False
120,TFSB__delta_t0,TFSB,0.7198487664351584,False
120,TFSB__slope,TFSB,0.7142521682037822,False
120,TFSB__mean,TFSB,0.712992989694899,False
120,THA__mean,THA,0.6990453827983347,False
120,THB__mean,THB,0.6990431763615004,False
120,QMGA__mean,QMGA,0.6985125724987492,False
120,QMGB__mean,QMGB,0.6985079438821129,False
120,QMGA__slope,QMGA,0.6982649253838883,False
120,QMGB__slope,QMGB,0.6982603482443497,False
120,QMGA__last,QMGA,0.6971476468838897,False
120,QMGA__delta_t0,QMGA,0.6971476468838897,False
120,QMGB__delta_t0,QMGB,0.697143302800874,False
120,QMGB__last,QMGB,0.697143302800874,False
120,THA__slope,THA,0.6967569739530465,False
120,THB__slope,THB,0.696754427997798,False
120,QMGA__std,QMGA,0.6962750140760595,False
120,QMGB__std,QMGB,0.6962734903884862,False
120,THB__std,THB,0.6876387914860678,False
120,THA__std,THA,0.687634180814287,False
120,THA__last,THA,0.6862342068343387,False
120,THA__delta_t0,THA,0.6862342068343386,False
120,THB__delta_t0,THB,0.6862301296767566,False
120,THB__last,THB,0.6862301296767566,False
120,QMWT__std,QMWT,0.6847149117686078,False
120,PWR__std,PWR,0.6847148901308588,False
120,TF__std,TF,0.6845030772922371,False
120,TFPK__std,TFPK,0.6845030772922371,False
120,RHFL__std,RHFL,0.6845030684397889,False
120,RHMT__std,RHMT,0.6841653882027664,False
120,TCB__std,TCB,0.6838296522959275,False
120,TCA__std,TCA,0.6838287696484371,False
120,TAVG__std,TAVG,0.6831452718419138,False
120,LSGA__delta_t0,LSGA,0.6772634914477934,False
120,LSGA__last,LSGA,0.6772634914477932,False
120,LSGB__delta_t0,LSGB,0.6772610684907451,False
120,LSGB__last,LSGB,0.6772610684907451,False
120,LSGA__slope,LSGA,0.6772550061907283,False
120,LSGB__slope,LSGB,0.6772535667344148,False
120,LSGA__mean,LSGA,0.6772531191440397,False
120,LSGB__mean,LSGB,0.677251898205202,False
120,RHMT__last,RHMT,0.6768994841985599,False
120,RHMT__delta_t0,RHMT,0.6768994841985599,False
120,TAVG__last,TAVG,0.6759629583558846,False
120,TAVG__delta_t0,TAVG,0.6759629583558846,False
120,NSGB__mean,NSGB,0.6756735861865665,False
120,NSGA__mean,NSGA,0.6756576991986182,False
120,LSGA__std,LSGA,0.6749967578478956,False
120,LSGB__std,LSGB,0.67496520517809,False
120,NSGB__slope,NSGB,0.6748540678376602,False
120,NSGA__slope,NSGA,0.6748382021308926,False
120,NSGA__std,NSGA,0.6712387828948079,False
120,NSGB__std,NSGB,0.6712349625898448,False
120,NSGB__delta_t0,NSGB,0.6711395284784699,False
120,NSGB__last,NSGB,0.6711395284784698,False
120,NSGA__delta_t0,NSGA,0.6711237617004996,False
120,NSGA__last,NSGA,0.6711237617004995,False
120,WFWB__std,WFWB,0.6676295214634704,False
120,WFWA__std,WFWA,0.6676275035803324,False
120,TFPK__last,TFPK,0.6611096822567516,False
120,TF__last,TF,0.6611096822567516,False
120,TF__delta_t0,TF,0.6611096822567515,False
120,TFPK__delta_t0,TFPK,0.6611096822567515,False
120,RHFL__last,RHFL,0.6611096812759256,False
120,RHFL__delta_t0,RHFL,0.6611096812759256,False
120,PWR__last,PWR,0.6608582303816629,False
120,PWR__delta_t0,PWR,0.6608582303816628,False
120,QMWT__delta_t0,QMWT,0.6608581990458446,False
120,QMWT__last,QMWT,0.6608581990458446,False
120,RH__std,RH,0.6599486078764063,False
120,RH__mean,RH,0.6593704545658771,False
120,RH__slope,RH,0.6593498425055904,False
120,RH__delta_t0,RH,0.6592570567626954,False
120,RH__last,RH,0.6592570567626954,False
120,TFPK__slope,TFPK,0.6538166582835364,False
120,TF__slope,TF,0.6538166582835364,False
120,RHFL__slope,RHFL,0.6538166506927298,False
120,PWR__slope,PWR,0.6534626796485664,False
120,QMWT__slope,QMWT,0.6534626436995291,False
120,TF__mean,TF,0.6521749840861765,False
120,TFPK__mean,TFPK,0.6521749840861765,False
120,RHFL__mean,RHFL,0.6521749750285555,False
120,PWR__mean,PWR,0.6517976569858073,False
120,QMWT__mean,QMWT,0.6517976199973766,False
120,WFWB__last,WFWB,0.648495719853431,False
120,WFWB__delta_t0,WFWB,0.648495719853431,False
120,WFWA__delta_t0,WFWA,0.648481814424041,False
120,WFWA__last,WFWA,0.6484818144240407,False
120,WFWB__slope,WFWB,0.6428694385008634,False
120,WFWA__slope,WFWA,0.6428550609248049,False
120,WFWB__mean,WFWB,0.641606878361088,False
120,WFWA__mean,WFWA,0.6415923960953721,False
120,TCB__delta_t0,TCB,0.6321166621359886,False
120,TCB__last,TCB,0.6321166621359885,False
120,TCA__last,TCA,0.6321050476539197,False
120,TCA__delta_t0,TCA,0.6321050476539196,False
120,TCB__slope,TCB,0.6199597056713883,False
120,TCA__slope,TCA,0.6199427941885831,False
120,TCB__mean,TCB,0.6172054350514872,False
120,TCA__mean,TCA,0.6171873129819304,False
300,WRCB__std,WRCB,0.9784903057421839,True
300,RRCB__std,RRCB,0.9784902978245824,True
300,RRCO__std,RRCO,0.9774201553808413,True
300,RRCB__mean,RRCB,0.9774085640587623,True
300,WRCB__mean,WRCB,0.9774085564014015,True
300,RRCO__mean,RRCO,0.9769600721582007,True
300,RRCA__mean,RRCA,0.976086095796871,True
300,WRCA__mean,WRCA,0.9760860865431158,True
300,RRCA__std,RRCA,0.9753608949550994,True
300,WRCA__std,WRCA,0.9753608792997954,True
300,WRCB__slope,WRCB,0.9708874037013081,True
300,RRCB__slope,RRCB,0.9708874002278434,True
300,RRCO__slope,RRCO,0.9696930420908577,True
300,RRCA__slope,RRCA,0.9672104858997659,True
300,WRCA__slope,WRCA,0.9672104750151667,True
300,VOL__mean,VOL,0.9545195629321517,True
300,LVCR__delta_t0,LVCR,0.9500087968606867,True
300,LVCR__last,LVCR,0.9500087968606867,True
300,WRCB__last,WRCB,0.9426781047688056,False
300,WRCB__delta_t0,WRCB,0.9426781047688055,False
300,RRCB__delta_t0,RRCB,0.9426780854158117,False
300,RRCB__last,RRCB,0.9426780854158114,False
300,LVCR__std,LVCR,0.9425815207835199,False
300,RRCO__delta_t0,RRCO,0.941157691207514,False
300,RRCO__last,RRCO,0.9411576912075137,False
300,WRCA__last,WRCA,0.9378811618453756,False
300,WRCA__delta_t0,WRCA,0.9378811618453756,False
300,RRCA__last,RRCA,0.9378811550322836,False
300,RRCA__delta_t0,RRCA,0.9378811550322836,False
300,VOL__std,VOL,0.937051350531957,False
300,VOL__slope,VOL,0.9336173686494524,False
300,LVCR__slope,LVCR,0.9275795783680315,False
300,VOL__delta_t0,VOL,0.9168517252605345,False
300,VOL__last,VOL,0.9168517252605342,False
300,RHBR__mean,RHBR,0.916439598154666,False
300,PPM__mean,PPM,0.9164395974706596,False
300,LVCR__mean,LVCR,0.9155936898022142,False
300,TCA__mean,TCA,0.8935483027819695,False
300,TSAT__mean,TSAT,0.8934939479348146,False
300,TCB__mean,TCB,0.8930222236581931,False
300,PSGA__slope,PSGA,0.8900504913188577,False
300,PSGB__slope,PSGB,0.8900500157147232,False
300,RHBR__slope,RHBR,0.8892164167509579,False
300,PPM__slope,PPM,0.8892164154138453,False
300,RHBR__std,RHBR,0.8743439660504263,False
300,PPM__std,PPM,0.874343964477377,False
300,P__mean,P,0.8696162418368419,False
300,PPM__delta_t0,PPM,0.8655995400766124,False
300,PPM__last,PPM,0.8655995400766122,False
300,RHBR__delta_t0,RHBR,0.8655995384797127,False
300,RHBR__last,RHBR,0.8655995384797127,False
300,WFWA__mean,WFWA,0.8479151158040643,False
300,WFWB__mean,WFWB,0.8478328197053854,False
300,TCA__delta_t0,TCA,0.8436061606479316,False
300,TCA__last,TCA,0.8436061606479315,False
300,TCB__delta_t0,TCB,0.8435810882790394,False
300,TCB__last,TCB,0.843581088279039,False
300,TCA__slope,TCA,0.8429780669957296,False
300,TCB__slope,TCB,0.8427559833957663,False
300,TSAT__std,TSAT,0.8328770324481416,False
300,TAVG__mean,TAVG,0.8256435471356391,False
300,PSGA__mean,PSGA,0.8229887307868875,False
300,PSGB__mean,PSGB,0.8229706876030892,False
300,TSAT__slope,TSAT,0.8180279791411174,False
300,PSGA__last,PSGA,0.8127123309992613,False
300,PSGA__delta_t0,PSGA,0.8127123309992613,False
300,PSGB__last,PSGB,0.8127114040994282,False
300,PSGB__delta_t0,PSGB,0.812711404099428,False
300,THB__mean,THB,0.8063856966576571,False
300,THA__mean,THA,0.8062012019840021,False
300,RHMT__mean,RHMT,0.8001964347659892,False
300,TSAT__last,TSAT,0.7933129003787487,False
300,TSAT__delta_t0,TSAT,0.7933129003787484,False
300,P__std,P,0.7921131852659,False
300,TCA__std,TCA,0.7856838521511277,False
