mode,window_s,model,split,n_trajectories,feature_count,excluded_suspicious_count,mae,rmse,r2
sensitivity,30,naive_mean,train,60,190,0,25.0,28.84296563577793,0.0
sensitivity,30,naive_mean,validation,20,190,0,25.0,28.90069203323685,-0.004812030075187934
sensitivity,30,naive_mean,test,20,190,0,25.05,28.98706608127149,-0.010827067669172852
sensitivity,30,ridge,train,60,190,0,25.0,28.84296563577793,0.0
sensitivity,30,ridge,validation,20,190,0,25.0,28.90069203323685,-0.004812030075187934
sensitivity,30,ridge,test,20,190,0,25.05,28.98706608127149,-0.010827067669172852
sensitivity,30,random_forest,train,60,190,0,25.000000000000007,28.84313572879608,-1.1794454276126132e-05
sensitivity,30,random_forest,validation,20,190,0,24.999999999999993,28.894006122046562,-0.004347175676227666
sensitivity,30,random_forest,test,20,190,0,25.040094444444442,28.97698187647832,-0.010123884113988568
sensitivity,30,gradient_boosting,train,60,190,0,25.000000000000007,28.843509297234533,-3.7698382836959254e-05
sensitivity,30,gradient_boosting,validation,20,190,0,24.999999999999996,28.88897696548702,-0.003997582090152996
sensitivity,30,gradient_boosting,test,20,190,0,25.032290704986288,28.969273449849684,-0.00958653138305654
sensitivity,60,naive_mean,train,60,190,0,25.0,28.84296563577793,0.0
sensitivity,60,naive_mean,validation,20,190,0,25.0,28.90069203323685,-0.004812030075187934
sensitivity,60,naive_mean,test,20,190,0,25.05,28.98706608127149,-0.010827067669172852
sensitivity,60,ridge,train,60,190,0,25.0,28.84296563577793,0.0
sensitivity,60,ridge,validation,20,190,0,25.0,28.90069203323685,-0.004812030075187934
sensitivity,60,ridge,test,20,190,0,25.05,28.98706608127149,-0.010827067669172852
sensitivity,60,random_forest,train,60,190,0,25.000000000000007,28.84313572879608,-1.1794454276126132e-05
sensitivity,60,random_forest,validation,20,190,0,24.999999999999993,28.894006122046562,-0.004347175676227666
sensitivity,60,random_forest,test,20,190,0,25.040094444444442,28.97698187647832,-0.010123884113988568
sensitivity,60,gradient_boosting,train,60,190,0,25.000000000000007,28.843509297234533,-3.7698382836959254e-05
sensitivity,60,gradient_boosting,validation,20,190,0,24.999999999999996,28.88897696548702,-0.003997582090152996
sensitivity,60,gradient_boosting,test,20,190,0,25.032290704986288,28.969273449849684,-0.00958653138305654
sensitivity,120,naive_mean,train,60,170,20,25.0,28.84296563577793,0.0
sensitivity,120,naive_mean,validation,20,170,20,25.0,28.90069203323685,-0.004812030075187934
sensitivity,120,naive_mean,test,20,170,20,25.05,28.98706608127149,-0.010827067669172852
sensitivity,120,ridge,train,60,170,20,11.285621981622688,13.175399213161015,0.7913358977147184
sensitivity,120,ridge,validation,20,170,20,12.208353623482937,14.04195360347334,0.7627952348846943
sensitivity,120,ridge,test,20,170,20,12.115629096920333,13.855415930369597,0.7690555782213058
sensitivity,120,random_forest,train,60,170,20,0.49933525933942574,0.6562479136183023,0.999482326365868
sensitivity,120,random_forest,validation,20,170,20,0.9968610028860017,1.2771783282656222,0.9980376728033789
sensitivity,120,random_forest,test,20,170,20,0.9724715909090943,1.3982170243974776,0.9976481072513504
sensitivity,120,gradient_boosting,train,60,170,20,0.41755237856369204,1.2840083241243934,0.9980182181190976
sensitivity,120,gradient_boosting,validation,20,170,20,1.1324114990094138,1.6460514227966514,0.9967404688282816
sensitivity,120,gradient_boosting,test,20,170,20,1.2348172121556584,1.840630486412734,0.9959243060601359
sensitivity,300,naive_mean,train,60,172,18,25.0,28.84296563577793,0.0
sensitivity,300,naive_mean,validation,20,172,18,25.0,28.90069203323685,-0.004812030075187934
sensitivity,300,naive_mean,test,20,172,18,25.05,28.98706608127149,-0.010827067669172852
sensitivity,300,ridge,train,60,172,18,1.2579842083386055,1.8064851126880792,0.9960772651959968
sensitivity,300,ridge,validation,20,172,18,1.8369946009806952,3.228564655592516,0.9874602950552286
sensitivity,300,ridge,test,20,172,18,1.4470479646349328,2.808906551688914,0.990508323589629
sensitivity,300,random_forest,train,60,172,18,0.4986962722462736,0.7017507622235994,0.9994080487240933
sensitivity,300,random_forest,validation,20,172,18,1.9362968915343886,3.5989464182204047,0.9844181469819892
sensitivity,300,random_forest,test,20,172,18,0.7235662037037139,1.178895166483355,0.9983280675927124
sensitivity,300,gradient_boosting,train,60,172,18,0.42139068313049566,1.291932261714606,0.9979936824976151
sensitivity,300,gradient_boosting,validation,20,172,18,2.1519299081847714,3.787977073396963,0.982738321433286
sensitivity,300,gradient_boosting,test,20,172,18,1.163196919156152,1.8970995017486934,0.9956703921569502
