sample_id,severity,split,severity_band
LOCA_001,1,test,low_1_10
LOCA_002,2,validation,low_1_10
LOCA_003,3,train,low_1_10
LOCA_004,4,train,low_1_10
LOCA_005,5,train,low_1_10
LOCA_006,6,test,low_1_10
LOCA_007,7,validation,low_1_10
LOCA_008,8,train,low_1_10
LOCA_009,9,train,low_1_10
LOCA_010,10,train,low_1_10
LOCA_011,11,test,middle_11_90
LOCA_012,12,validation,middle_11_90
LOCA_013,13,train,middle_11_90
LOCA_014,14,train,middle_11_90
LOCA_015,15,train,middle_11_90
LOCA_016,16,test,middle_11_90
LOCA_017,17,validation,middle_11_90
LOCA_018,18,train,middle_11_90
LOCA_019,19,train,middle_11_90
LOCA_020,20,train,middle_11_90
LOCA_021,21,test,middle_11_90
LOCA_022,22,validation,middle_11_90
LOCA_023,23,train,middle_11_90
LOCA_024,24,train,middle_11_90
LOCA_025,25,train,middle_11_90
LOCA_026,26,test,middle_11_90
LOCA_027,27,validation,middle_11_90
LOCA_028,28,train,middle_11_90
LOCA_029,29,train,middle_11_90
LOCA_030,30,train,middle_11_90
LOCA_031,31,test,middle_11_90
LOCA_032,32,validation,middle_11_90
LOCA_033,33,train,middle_11_90
LOCA_034,34,train,middle_11_90
LOCA_035,35,train,middle_11_90
LOCA_036,36,test,middle_11_90
LOCA_037,37,validation,middle_11_90
LOCA_038,38,train,middle_11_90
LOCA_039,39,train,middle_11_90
LOCA_040,40,train,middle_11_90
LOCA_041,41,test,middle_11_90
LOCA_042,42,validation,middle_11_90
LOCA_043,43,train,middle_11_90
LOCA_044,44,train,middle_11_90
LOCA_045,45,train,middle_11_90
LOCA_046,46,test,middle_11_90
LOCA_047,47,validation,middle_11_90
LOCA_048,48,train,middle_11_90
LOCA_049,49,train,middle_11_90
LOCA_050,50,train,middle_11_90
LOCA_051,51,test,middle_11_90
LOCA_052,52,validation,middle_11_90
LOCA_053,53,train,middle_11_90
LOCA_054,54,train,middle_11_90
LOCA_055,55,train,middle_11_90
LOCA_056,56,test,middle_11_90
LOCA_057,57,validation,middle_11_90
LOCA_058,58,train,middle_11_90
LOCA_059,59,train,middle_11_90
LOCA_060,60,train,middle_11_90
LOCA_061,61,test,middle_11_90
LOCA_062,62,validation,middle_11_90
LOCA_063,63,train,middle_11_90
LOCA_064,64,train,middle_11_90
LOCA_065,65,train,middle_11_90
LOCA_066,66,test,middle_11_90
LOCA_067,67,validation,middle_11_90
LOCA_068,68,train,middle_11_90
LOCA_069,69,train,middle_11_90
LOCA_070,70,train,middle_11_90
LOCA_071,71,test,middle_11_90
LOCA_072,72,validation,middle_11_90
LOCA_073,73,train,middle_11_90
LOCA_074,74,train,middle_11_90
LOCA_075,75,train,middle_11_90
LOCA_076,76,test,middle_11_90
LOCA_077,77,validation,middle_11_90
LOCA_078,78,train,middle_11_90
LOCA_079,79,train,middle_11_90
LOCA_080,80,train,middle_11_90
LOCA_081,81,test,middle_11_90
LOCA_082,82,validation,middle_11_90
LOCA_083,83,train,middle_11_90
LOCA_084,84,train,middle_11_90
LOCA_085,85,train,middle_11_90
LOCA_086,86,test,middle_11_90
LOCA_087,87,validation,middle_11_90
LOCA_088,88,train,middle_11_90
LOCA_089,89,train,middle_11_90
LOCA_090,90,train,middle_11_90
LOCA_091,91,test,high_91_100
LOCA_092,92,validation,high_91_100
LOCA_093,93,train,high_91_100
LOCA_094,94,train,high_91_100
LOCA_095,95,train,high_91_100
LOCA_096,96,test,high_91_100
LOCA_097,97,validation,high_91_100
LOCA_098,98,train,high_91_100
LOCA_099,99,train,high_91_100
LOCA_100,100,train,high_91_100
