mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
strict,30,process_only,gradient_boosting,test,20,190,0,0,121.01314262218341,426.25701159760536,-0.06068340019384744
strict,30,severity_only,gradient_boosting,test,20,1,0,0,86.03502401767435,348.4847179639786,0.2910588652775127
strict,30,severity_plus_process,gradient_boosting,test,20,191,0,0,86.03502401767435,348.4847179639786,0.2910588652775127
strict,60,process_only,gradient_boosting,test,20,190,0,0,121.6144217495524,425.8766972026482,-0.058648514651605144
strict,60,severity_only,random_forest,test,20,1,0,0,86.82564467592593,338.73522013129934,0.3302622978959968
strict,60,severity_plus_process,random_forest,test,20,191,0,0,86.82564467592593,338.73522013129934,0.3302622978959968
strict,120,process_only,random_forest,test,16,190,0,0,103.57172267691799,376.11839905683297,0.3248433149784469
strict,120,severity_only,random_forest,test,16,1,0,0,108.4326316137566,378.6614415905863,0.31568260085169686
strict,120,severity_plus_process,random_forest,test,16,191,0,0,104.2083649966931,376.2793281030672,0.3242654354273259
strict,300,process_only,ridge,test,2,190,0,138,195.516214811766,245.58578433213182,0.9156815847546007
strict,300,severity_only,ridge,test,2,1,0,138,738.1538461538462,933.776085460416,-0.21899375723048897
strict,300,severity_plus_process,ridge,test,2,191,0,138,191.6072095869598,239.83504075057812,0.9195842238832961
