mode,landmark_s,base_feature,feature,train_abs_correlation,flagged
strict,120,LSGA,LSGA__delta_t0,0.7951353242497137,False
strict,120,LSGA,LSGA__last,0.7951353242497134,False
strict,120,LSGB,LSGB__last,0.7947032577731138,False
strict,120,LSGB,LSGB__delta_t0,0.7947032577731132,False
strict,120,LSGA,LSGA__slope,0.7809808495034135,False
strict,120,LSGB,LSGB__slope,0.7802095808173913,False
strict,120,LSGA,LSGA__mean,0.7776247049970889,False
strict,120,LSGB,LSGB__mean,0.7767742104260321,False
strict,120,LSGA,LSGA__std,0.767453478982458,False
strict,120,LSGB,LSGB__std,0.7667657526754702,False
strict,120,RH,RH__std,0.7352805400894292,False
strict,120,QMGB,QMGB__std,0.7318056378837898,False
strict,120,QMGA,QMGA__std,0.7316286951289259,False
strict,120,RH,RH__mean,0.7097520926579504,False
strict,120,TCB,TCB__mean,0.6709614194589766,False
strict,120,TCA,TCA__mean,0.6708566789840673,False
strict,120,PSGB,PSGB__mean,0.6684508837976821,False
strict,120,PSGA,PSGA__mean,0.6684443481388718,False
strict,120,RH,RH__slope,0.665365523471735,False
strict,120,TCB,TCB__slope,0.6649502904834304,False
strict,120,TCA,TCA__slope,0.6648446644242495,False
strict,120,PSGB,PSGB__slope,0.6637545947579551,False
strict,120,PSGA,PSGA__slope,0.6637474450283425,False
strict,120,RHMT,RHMT__mean,0.6513229197035527,False
strict,120,TAVG,TAVG__mean,0.6511334936107499,False
strict,120,PSGB,PSGB__std,0.6367679210018421,False
strict,120,PSGA,PSGA__std,0.6367593017578618,False
strict,120,PWNT,PWNT__mean,0.6360339305470366,False
strict,120,TCB,TCB__std,0.6339658253017899,False
strict,120,TCA,TCA__std,0.6338379223206241,False
strict,120,RHMT,RHMT__slope,0.6335251939047667,False
strict,120,TAVG,TAVG__slope,0.6333340510670894,False
strict,120,RHMT,RHMT__std,0.632736966385125,False
strict,120,TAVG,TAVG__std,0.6325343425735928,False
strict,120,WFWA,WFWA__mean,0.6322030344248663,False
strict,120,WFWB,WFWB__mean,0.6321997551195897,False
strict,120,THA,THA__mean,0.6314478276646921,False
strict,120,THB,THB__mean,0.631313956764316,False
strict,120,TFSB,TFSB__mean,0.6303135514225259,False
strict,120,PWNT,PWNT__std,0.6294081856590916,False
strict,120,PWR,PWR__mean,0.6290284184593163,False
strict,120,QMWT,QMWT__mean,0.6290279464565699,False
strict,120,RHFL,RHFL__mean,0.6287425522634885,False
strict,120,TFPK,TFPK__mean,0.6287416987492033,False
strict,120,TF,TF__mean,0.6287416987492033,False
strict,120,PSGB,PSGB__delta_t0,0.6275578292299652,False
strict,120,PSGB,PSGB__last,0.627557829229965,False
strict,120,PSGA,PSGA__last,0.6275488115983879,False
strict,120,PSGA,PSGA__delta_t0,0.6275488115983877,False
strict,120,NSGA,NSGA__mean,0.6250748398443419,False
strict,120,NSGB,NSGB__mean,0.6250671924667874,False
strict,120,TCB,TCB__last,0.6209379210147445,False
strict,120,TCB,TCB__delta_t0,0.6209379210147443,False
strict,120,WFWA,WFWA__slope,0.6209371848301944,False
strict,120,WFWB,WFWB__slope,0.6209340291298276,False
strict,120,TCA,TCA__delta_t0,0.6208185656523203,False
strict,120,TCA,TCA__last,0.6208185656523199,False
strict,120,QMGA,QMGA__mean,0.6184961315160795,False
strict,120,THA,THA__slope,0.6184760164538189,False
strict,120,QMGB,QMGB__mean,0.6184536297815441,False
strict,120,THB,THB__slope,0.6183434325731121,False
strict,120,PWR,PWR__slope,0.6176757488044777,False
strict,120,QMWT,QMWT__slope,0.6176753453194277,False
strict,120,TFSB,TFSB__slope,0.617574075475817,False
strict,120,RHFL,RHFL__slope,0.617479509177865,False
strict,120,TF,TF__slope,0.6174788294328859,False
strict,120,TFPK,TFPK__slope,0.6174788294328859,False
strict,120,PWNT,PWNT__slope,0.6173455601434356,False
strict,120,NSGA,NSGA__slope,0.612879661011923,False
strict,120,NSGB,NSGB__slope,0.6128688721406076,False
strict,120,TFSB,TFSB__std,0.6010281178833344,False
strict,120,LVPZ,LVPZ__last,0.5981664759543118,False
strict,120,LVPZ,LVPZ__delta_t0,0.5981664759543117,False
strict,120,VOL,VOL__delta_t0,0.5981661378715233,False
strict,120,VOL,VOL__last,0.5981661378715233,False
strict,120,LVPZ,LVPZ__std,0.5975030774421822,False
strict,120,VOL,VOL__std,0.5975027881983681,False
strict,120,QMWT,QMWT__std,0.5968314643881651,False
strict,120,PWR,PWR__std,0.5968312540293276,False
strict,120,THB,THB__std,0.5966931514980114,False
strict,120,THA,THA__std,0.5965886073562279,False
strict,120,TFPK,TFPK__std,0.5962879917539043,False
strict,120,TF,TF__std,0.5962879917539043,False
strict,120,RHFL,RHFL__std,0.5962879120989159,False
strict,120,LVPZ,LVPZ__slope,0.5953565175636611,False
strict,120,VOL,VOL__slope,0.5953564353472165,False
strict,120,LVPZ,LVPZ__mean,0.5948596163294775,False
strict,120,VOL,VOL__mean,0.5948595792524002,False
strict,120,WFWA,WFWA__std,0.587671177889384,False
strict,120,WFWB,WFWB__std,0.5859545254579078,False
strict,120,QMGA,QMGA__slope,0.5856715906550848,False
strict,120,QMGB,QMGB__slope,0.58560893087052,False
strict,120,P,P__mean,0.5758781648100957,False
strict,120,P,P__slope,0.575588398584768,False
strict,120,P,P__std,0.5743488518464622,False
strict,120,P,P__delta_t0,0.5739563252861174,False
strict,120,P,P__last,0.5739563252861172,False
strict,120,TSAT,TSAT__mean,0.5673847071676853,False
strict,120,TSAT,TSAT__slope,0.5670410812738744,False
strict,120,TSAT,TSAT__std,0.5655208217242536,False
strict,120,TSAT,TSAT__delta_t0,0.5651562395299589,False
strict,120,TSAT,TSAT__last,0.5651562395299589,False
strict,120,NSGA,NSGA__std,0.5241308873915752,False
strict,120,WFWB,WFWB__delta_t0,0.5232081378298624,False
strict,120,WFWB,WFWB__last,0.523208137829862,False
strict,120,WFWA,WFWA__last,0.5232075960143365,False
strict,120,WFWA,WFWA__delta_t0,0.5232075960143364,False
strict,120,NSGB,NSGB__std,0.5223368678064559,False
strict,120,TFPK,TFPK__delta_t0,0.5173365735807018,False
strict,120,TF,TF__delta_t0,0.5173365735807018,False
strict,120,TF,TF__last,0.5173365735807017,False
strict,120,TFPK,TFPK__last,0.5173365735807017,False
strict,120,RHFL,RHFL__delta_t0,0.5173355576511558,False
strict,120,RHFL,RHFL__last,0.5173355576511558,False
strict,120,QMWT,QMWT__last,0.5171300323612268,False
strict,120,QMWT,QMWT__delta_t0,0.5171300323612267,False
strict,120,PWR,PWR__last,0.5171296679364578,False
strict,120,PWR,PWR__delta_t0,0.5171296679364578,False
strict,120,THA,THA__delta_t0,0.5101085560636663,False
strict,120,THA,THA__last,0.5101085560636663,False
strict,120,THB,THB__last,0.509960031890614,False
strict,120,THB,THB__delta_t0,0.5099600318906139,False
strict,120,TFSB,TFSB__last,0.5088849315547601,False
strict,120,TFSB,TFSB__delta_t0,0.50888493155476,False
strict,120,RHMT,RHMT__delta_t0,0.5079623188417332,False
strict,120,RHMT,RHMT__last,0.5079623188417332,False
strict,120,TAVG,TAVG__delta_t0,0.5077936384715408,False
strict,120,TAVG,TAVG__last,0.5077936384715406,False
strict,120,NSGA,NSGA__delta_t0,0.5034856436653504,False
strict,120,NSGA,NSGA__last,0.5034856436653503,False
strict,120,NSGB,NSGB__delta_t0,0.5034409269736988,False
strict,120,NSGB,NSGB__last,0.5034409269736988,False
strict,120,PWNT,PWNT__last,0.47560123279027283,False
strict,120,PWNT,PWNT__delta_t0,0.4756012327902727,False
strict,120,RH,RH__last,0.4582094638358033,False
strict,120,RH,RH__delta_t0,0.4582094638358033,False
strict,120,QMGA,QMGA__delta_t0,0.3483519600255622,False
strict,120,QMGA,QMGA__last,0.348351960025562,False
strict,120,QMGB,QMGB__delta_t0,0.3481477911125343,False
strict,120,QMGB,QMGB__last,0.3481477911125341,False
strict,120,WSTA,WSTA__std,0.19370741836246694,False
strict,120,WSTB,WSTB__std,0.1297486126907123,False
strict,120,WSTB,WSTB__mean,0.07537061930555829,False
strict,120,WSTA,WSTA__mean,0.07494233672229655,False
strict,120,WSTA,WSTA__slope,0.06397366580706551,False
strict,120,WSTB,WSTB__slope,0.06224937649820017,False
strict,120,WSTB,WSTB__last,0.046691554723578804,False
strict,120,WSTB,WSTB__delta_t0,0.046691554723578804,False
strict,120,WSTA,WSTA__last,0.03006664001592153,False
strict,120,WSTA,WSTA__delta_t0,0.03006664001592149,False
strict,300,RHMT,RHMT__std,0.9999998023170634,True
strict,300,THA,THA__mean,0.9999983011326543,True
strict,300,TAVG,TAVG__std,0.9999965986149298,True
strict,300,THB,THB__mean,0.9999953044914011,True
