sample_id,accident_class,numeric_case_id,operation_csv,rows,column_count,time_start_s,time_end_s,sampling_median_s,sampling_min_s,sampling_max_s,time_numeric,time_strictly_increasing,time_duplicate_count,nonuniform_sampling_intervals,missing_cells,missing_columns,schema_match_03_97,schema_extra_columns,schema_missing_columns,split,split_strategy,available_30s,available_60s,available_120s
ATWS_1,ATWS,1,data/NuclearPowerPlantAccidentData/Operation_csv_data/ATWS/1.csv,580,97,0.0,5790.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,train_only_class_too_small_for_three_way_split,True,True,True
FLB_1,FLB,1,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/1.csv,553,97,0.0,5520.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,test,deterministic_class_stratified_group_interleave,True,True,True
FLB_2,FLB,2,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/2.csv,551,97,0.0,5500.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,validation,deterministic_class_stratified_group_interleave,True,True,True
FLB_3,FLB,3,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/3.csv,549,97,0.0,5480.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_4,FLB,4,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/4.csv,319,97,0.0,3180.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_5,FLB,5,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/5.csv,317,97,0.0,3160.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_6,FLB,6,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/6.csv,314,97,0.0,3130.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_7,FLB,7,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/7.csv,311,97,0.0,3100.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_8,FLB,8,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/8.csv,248,97,0.0,2470.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_9,FLB,9,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/9.csv,248,97,0.0,2470.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_10,FLB,10,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/10.csv,245,97,0.0,2440.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_11,FLB,11,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/11.csv,234,97,0.0,2330.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,test,deterministic_class_stratified_group_interleave,True,True,True
FLB_12,FLB,12,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/12.csv,243,97,0.0,2420.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,validation,deterministic_class_stratified_group_interleave,True,True,True
FLB_13,FLB,13,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/13.csv,240,97,0.0,2390.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_14,FLB,14,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/14.csv,236,97,0.0,2350.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_15,FLB,15,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/15.csv,238,97,0.0,2370.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_16,FLB,16,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/16.csv,237,97,0.0,2360.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_17,FLB,17,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/17.csv,236,97,0.0,2350.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_18,FLB,18,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/18.csv,235,97,0.0,2340.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_19,FLB,19,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/19.csv,232,97,0.0,2310.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_20,FLB,20,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/20.csv,230,97,0.0,2290.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_21,FLB,21,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/21.csv,230,97,0.0,2290.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,test,deterministic_class_stratified_group_interleave,True,True,True
FLB_22,FLB,22,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/22.csv,229,97,0.0,2280.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,validation,deterministic_class_stratified_group_interleave,True,True,True
FLB_23,FLB,23,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/23.csv,228,97,0.0,2270.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_24,FLB,24,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/24.csv,227,97,0.0,2260.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
FLB_25,FLB,25,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/25.csv,226,97,0.0,2250.0,10.0,10.0,10.0,True,True,0,0,0,0,True,,,train,deterministic_class_stratified_group_interleave,True,True,True
