sample_id,accident_class,operation_csv,transient_report,report_exists,report_line_count,injection_s,injection_event,scram_s,scram_event,hpi_pump_1_s,hpi_pump_1_event,hpi_pump_2_s,hpi_pump_2_event,hpsi_start_s,hpsi_start_event,first_protection_s,first_protection_event,event_parse_ok
ATWS_1,ATWS,data/NuclearPowerPlantAccidentData/Operation_csv_data/ATWS/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/ATWS/1Transient Report.txt,True,2,0.5,Malfunction # 8 Fraction = 00.0 %,,,,,,,,,,,True
FLB_1,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/1Transient Report.txt,True,2,0.5,Malfunction # 13 Fraction = 01.0 %,,,,,,,,,,,True
FLB_2,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/2.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/2Transient Report.txt,True,119,0.5,Malfunction # 13 Fraction = 02.0 %,2959.5,Reactor Scram,2958.5,HPI Pump #1 Position Change: 100%,2958.5,HPI Pump #2 Position Change: 100%,2958.5,HPSI start high RB Press 1.30 bar,2958.5,HPI Pump #1 Position Change: 100%,True
FLB_3,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/3.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/3Transient Report.txt,True,118,0.5,Malfunction # 13 Fraction = 03.0 %,2034.0,Reactor Scram,2033.0,HPI Pump #1 Position Change: 100%,2033.0,HPI Pump #2 Position Change: 100%,2033.0,HPSI start high RB Press 1.30 bar,2033.0,HPI Pump #1 Position Change: 100%,True
FLB_4,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/4.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/4Transient Report.txt,True,30,0.5,Malfunction # 13 Fraction = 04.0 %,1570.5,Reactor Scram,1569.5,HPI Pump #1 Position Change: 100%,1569.5,HPI Pump #2 Position Change: 100%,1569.5,HPSI start high RB Press 1.30 bar,1569.5,HPI Pump #1 Position Change: 100%,True
FLB_5,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/5.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/5Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 05.0 %,1264.5,Reactor Scram,1263.5,HPI Pump #1 Position Change: 100%,1263.5,HPI Pump #2 Position Change: 100%,1263.5,HPSI start high RB Press 1.30 bar,1263.5,HPI Pump #1 Position Change: 100%,True
FLB_6,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/6.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/6Transient Report.txt,True,81,0.5,Malfunction # 13 Fraction = 06.0 %,1074.0,Reactor Scram,1073.0,HPI Pump #1 Position Change: 100%,1073.0,HPI Pump #2 Position Change: 100%,1073.0,HPSI start high RB Press 1.30 bar,1073.0,HPI Pump #1 Position Change: 100%,True
FLB_7,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/7.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/7Transient Report.txt,True,117,0.5,Malfunction # 13 Fraction = 07.0 %,939.5,Reactor Scram,938.5,HPI Pump #1 Position Change: 100%,938.5,HPI Pump #2 Position Change: 100%,938.5,HPSI start high RB Press 1.30 bar,938.5,HPI Pump #1 Position Change: 100%,True
FLB_8,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/8.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/8Transient Report.txt,True,32,0.5,Malfunction # 13 Fraction = 08.0 %,831.5,Reactor Scram,830.5,HPI Pump #1 Position Change: 100%,830.5,HPI Pump #2 Position Change: 100%,830.5,HPSI start high RB Press 1.30 bar,830.5,HPI Pump #1 Position Change: 100%,True
FLB_9,FLB,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/9.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/9Transient Report.txt,True,38,0.5,Malfunction # 13 Fraction = 09.0 %,752.0,Reactor Scram,751.0,HPI Pump #1 Position Change: 100%,751.0,HPI Pump #2 Position Change: 100%,751.0,HPSI start high RB Press 1.30 bar,751.0,HPI Pump #1 Position Change: 100%,True
