window_s,split,accident_class,trajectory_count
30,test,FLB,10
30,test,LLB,11
30,test,LOCA,10
30,test,LOCAC,10
30,test,LR,10
30,test,MD,10
30,test,RI,10
30,test,RW,10
30,test,SGATR,10
30,test,SGBTR,11
30,test,SLBIC,11
30,test,SLBOC,10
30,train,FLB,80
30,train,LLB,80
30,train,LOCA,80
30,train,LOCAC,80
30,train,LR,79
30,train,MD,80
30,train,RI,80
30,train,RW,80
30,train,SGATR,80
30,train,SGBTR,88
30,train,SLBIC,80
30,train,SLBOC,80
30,validation,FLB,10
30,validation,LLB,10
30,validation,LOCA,10
30,validation,LOCAC,10
30,validation,LR,10
30,validation,MD,10
30,validation,RI,10
30,validation,RW,10
30,validation,SGATR,10
30,validation,SGBTR,11
30,validation,SLBIC,10
30,validation,SLBOC,10
60,test,FLB,10
60,test,LLB,11
60,test,LOCA,10
60,test,LOCAC,10
60,test,LR,10
60,test,MD,10
60,test,RI,10
60,test,RW,10
60,test,SGATR,10
60,test,SGBTR,11
60,test,SLBIC,11
60,test,SLBOC,10
60,train,FLB,80
60,train,LLB,80
60,train,LOCA,80
60,train,LOCAC,80
60,train,LR,79
60,train,MD,80
60,train,RI,80
60,train,RW,80
60,train,SGATR,80
60,train,SGBTR,88
60,train,SLBIC,80
60,train,SLBOC,80
60,validation,FLB,10
60,validation,LLB,10
60,validation,LOCA,10
60,validation,LOCAC,10
60,validation,LR,10
60,validation,MD,10
60,validation,RI,10
60,validation,RW,10
60,validation,SGATR,10
60,validation,SGBTR,11
60,validation,SLBIC,10
60,validation,SLBOC,10
120,test,FLB,10
120,test,LLB,11
120,test,LOCA,10
120,test,LOCAC,10
120,test,LR,10
120,test,MD,10
120,test,RI,8
120,test,RW,10
120,test,SGATR,10
120,test,SGBTR,11
120,test,SLBIC,11
120,test,SLBOC,10
120,train,FLB,80
120,train,LLB,80
120,train,LOCA,80
120,train,LOCAC,80
120,train,LR,79
120,train,MD,80
120,train,RI,66
120,train,RW,80
120,train,SGATR,80
120,train,SGBTR,88
120,train,SLBIC,80
120,train,SLBOC,80
120,validation,FLB,10
120,validation,LLB,10
120,validation,LOCA,10
120,validation,LOCAC,10
120,validation,LR,10
120,validation,MD,10
120,validation,RI,8
120,validation,RW,10
120,validation,SGATR,10
120,validation,SGBTR,11
120,validation,SLBIC,10
120,validation,SLBOC,10
