window_s,input_group,model,eval_split,n_samples,n_features,accuracy,macro_f1,balanced_accuracy,train_majority_class
30,A_strict_38,naive_majority,validation,121,190,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
30,A_strict_38,naive_majority,test,123,190,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
30,A_strict_38,logistic_regression,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,A_strict_38,logistic_regression,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,A_strict_38,random_forest,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,A_strict_38,random_forest,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,A_strict_38,hist_gradient_boosting,validation,121,190,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,A_strict_38,hist_gradient_boosting,test,123,190,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,B_without_potential_leakage,naive_majority,validation,121,185,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
30,B_without_potential_leakage,naive_majority,test,123,185,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
30,B_without_potential_leakage,logistic_regression,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,B_without_potential_leakage,logistic_regression,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,B_without_potential_leakage,random_forest,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,B_without_potential_leakage,random_forest,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,0.2809917355371901,0.19586894586894588,0.27499999999999997,
30,B_without_potential_leakage,hist_gradient_boosting,test,123,185,0.2764227642276423,0.19275498978469274,0.2727272727272727,
30,C_without_SLBIC_initial,naive_majority,validation,121,120,0.08264462809917356,0.012722646310432571,0.08333333333333333,FLB
30,C_without_SLBIC_initial,naive_majority,test,123,120,0.08130081300813008,0.012531328320802004,0.08333333333333333,FLB
30,C_without_SLBIC_initial,logistic_regression,validation,121,120,0.2809917355371901,0.19586894586894588,0.27499999999999997,
