sample_id,accident_class,split,window_s,sample_count,first_sample_s,last_sample_s,sample_points_s
FLB_1,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_10,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_100,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_11,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_12,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_13,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_14,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_15,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_16,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_17,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_18,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_19,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_2,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_20,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_21,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_22,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_23,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_24,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_25,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_26,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_27,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_28,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_29,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_3,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_30,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_31,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_32,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_33,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_34,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_35,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_36,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_37,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_38,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_39,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_4,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_40,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_41,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_42,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_43,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_44,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_45,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_46,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_47,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_48,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_49,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_5,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_50,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_51,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_52,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_53,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_54,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_55,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_56,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_57,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_58,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_59,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_6,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_60,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_61,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_62,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_63,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_64,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_65,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_66,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_67,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_68,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_69,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_7,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_70,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_71,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_72,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_73,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_74,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_75,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_76,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_77,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_78,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_79,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_8,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_80,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_81,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_82,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_83,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_84,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_85,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_86,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_87,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_88,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_89,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_9,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_90,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_91,FLB,test,30,3,10.0,30.0,"10,20,30"
FLB_92,FLB,validation,30,3,10.0,30.0,"10,20,30"
FLB_93,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_94,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_95,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_96,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_97,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_98,FLB,train,30,3,10.0,30.0,"10,20,30"
FLB_99,FLB,train,30,3,10.0,30.0,"10,20,30"
LLB_1,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_10,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_100,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_101,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_11,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_12,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_13,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_14,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_15,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_16,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_17,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_18,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_19,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_2,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_20,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_21,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_22,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_23,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_24,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_25,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_26,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_27,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_28,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_29,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_3,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_30,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_31,LLB,test,30,3,10.0,30.0,"10,20,30"
LLB_32,LLB,validation,30,3,10.0,30.0,"10,20,30"
LLB_33,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_34,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_35,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_36,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_37,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_38,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_39,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_4,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_40,LLB,train,30,3,10.0,30.0,"10,20,30"
LLB_41,LLB,test,30,3,10.0,30.0,"10,20,30"
