window_s,accident_class,trajectory_count,scope
10,FLB,100,all_sample
10,LLB,101,all_sample
10,LOCA,100,all_sample
10,LOCAC,100,all_sample
10,LR,99,all_sample
10,MD,100,all_sample
10,RI,100,all_sample
10,RW,100,all_sample
10,SGATR,100,all_sample
10,SGBTR,110,all_sample
10,SLBIC,101,all_sample
10,SLBOC,100,all_sample
20,FLB,100,all_sample
20,LLB,101,all_sample
20,LOCA,100,all_sample
20,LOCAC,100,all_sample
20,LR,99,all_sample
20,MD,100,all_sample
20,RI,100,all_sample
20,RW,100,all_sample
20,SGATR,100,all_sample
20,SGBTR,110,all_sample
20,SLBIC,101,all_sample
20,SLBOC,100,all_sample
30,FLB,100,all_sample
30,LLB,101,all_sample
30,LOCA,100,all_sample
30,LOCAC,100,all_sample
30,LR,99,all_sample
30,MD,100,all_sample
30,RI,100,all_sample
30,RW,100,all_sample
30,SGATR,100,all_sample
30,SGBTR,110,all_sample
30,SLBIC,101,all_sample
30,SLBOC,100,all_sample
40,FLB,100,all_sample
40,LLB,101,all_sample
40,LOCA,100,all_sample
40,LOCAC,100,all_sample
40,LR,99,all_sample
40,MD,100,all_sample
40,RI,100,all_sample
40,RW,100,all_sample
40,SGATR,100,all_sample
40,SGBTR,110,all_sample
40,SLBIC,101,all_sample
40,SLBOC,100,all_sample
60,FLB,100,all_sample
60,LLB,101,all_sample
60,LOCA,100,all_sample
60,LOCAC,100,all_sample
60,LR,99,all_sample
60,MD,100,all_sample
60,RI,100,all_sample
60,RW,100,all_sample
60,SGATR,100,all_sample
60,SGBTR,110,all_sample
60,SLBIC,101,all_sample
60,SLBOC,100,all_sample
90,FLB,100,all_sample
90,LLB,101,all_sample
90,LOCA,100,all_sample
90,LOCAC,100,all_sample
90,LR,99,all_sample
90,MD,100,all_sample
90,RI,100,all_sample
90,RW,100,all_sample
90,SGATR,100,all_sample
90,SGBTR,110,all_sample
90,SLBIC,101,all_sample
90,SLBOC,100,all_sample
120,FLB,100,all_sample
120,LLB,101,all_sample
120,LOCA,100,all_sample
120,LOCAC,100,all_sample
120,LR,99,all_sample
120,MD,100,all_sample
120,RI,82,all_sample
120,RW,100,all_sample
120,SGATR,100,all_sample
120,SGBTR,110,all_sample
120,SLBIC,101,all_sample
120,SLBOC,100,all_sample
10,FLB,99,strict_pre_protection_only
10,LOCA,100,strict_pre_protection_only
10,LOCAC,100,strict_pre_protection_only
10,RI,75,strict_pre_protection_only
10,RW,100,strict_pre_protection_only
10,SGATR,44,strict_pre_protection_only
10,SGBTR,54,strict_pre_protection_only
10,SLBIC,88,strict_pre_protection_only
20,FLB,99,strict_pre_protection_only
20,LOCA,100,strict_pre_protection_only
20,LOCAC,100,strict_pre_protection_only
20,RI,75,strict_pre_protection_only
20,RW,100,strict_pre_protection_only
20,SGATR,44,strict_pre_protection_only
20,SGBTR,54,strict_pre_protection_only
20,SLBIC,88,strict_pre_protection_only
30,FLB,99,strict_pre_protection_only
30,LOCA,100,strict_pre_protection_only
30,LOCAC,100,strict_pre_protection_only
30,RI,75,strict_pre_protection_only
30,RW,100,strict_pre_protection_only
30,SGATR,44,strict_pre_protection_only
30,SGBTR,54,strict_pre_protection_only
30,SLBIC,88,strict_pre_protection_only
40,FLB,99,strict_pre_protection_only
40,LOCA,100,strict_pre_protection_only
40,LOCAC,100,strict_pre_protection_only
40,RI,75,strict_pre_protection_only
40,RW,100,strict_pre_protection_only
40,SGATR,44,strict_pre_protection_only
40,SGBTR,54,strict_pre_protection_only
40,SLBIC,88,strict_pre_protection_only
60,FLB,99,strict_pre_protection_only
60,LOCA,99,strict_pre_protection_only
60,LOCAC,100,strict_pre_protection_only
60,RI,75,strict_pre_protection_only
60,RW,100,strict_pre_protection_only
60,SGATR,44,strict_pre_protection_only
60,SGBTR,54,strict_pre_protection_only
60,SLBIC,88,strict_pre_protection_only
90,FLB,99,strict_pre_protection_only
90,LOCA,99,strict_pre_protection_only
90,LOCAC,100,strict_pre_protection_only
90,RI,75,strict_pre_protection_only
90,RW,100,strict_pre_protection_only
90,SGATR,44,strict_pre_protection_only
90,SGBTR,54,strict_pre_protection_only
90,SLBIC,88,strict_pre_protection_only
120,FLB,99,strict_pre_protection_only
120,LOCA,76,strict_pre_protection_only
120,LOCAC,79,strict_pre_protection_only
120,RI,28,strict_pre_protection_only
120,RW,3,strict_pre_protection_only
120,SGATR,44,strict_pre_protection_only
120,SGBTR,54,strict_pre_protection_only
120,SLBIC,88,strict_pre_protection_only
