scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
all_sample,10,A_strict_38,naive_majority,validation,FLB,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,FLB,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,LR,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,MD,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,RI,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,RW,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,FLB,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,LLB,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,LR,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,MD,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,RI,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,RW,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,LLB,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,LOCA,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,LR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,MD,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,RI,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,RW,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,LR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,MD,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,RI,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,RW,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,LR,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,LR,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,LR,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,LR,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,LR,LR,0
all_sample,10,A_strict_38,naive_majority,validation,LR,MD,0
all_sample,10,A_strict_38,naive_majority,validation,LR,RI,0
all_sample,10,A_strict_38,naive_majority,validation,LR,RW,0
all_sample,10,A_strict_38,naive_majority,validation,LR,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,LR,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,LR,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,LR,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,MD,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,MD,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,MD,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,MD,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,MD,LR,0
all_sample,10,A_strict_38,naive_majority,validation,MD,MD,0
all_sample,10,A_strict_38,naive_majority,validation,MD,RI,0
all_sample,10,A_strict_38,naive_majority,validation,MD,RW,0
all_sample,10,A_strict_38,naive_majority,validation,MD,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,MD,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,MD,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,MD,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,RI,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,RI,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,RI,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,RI,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,RI,LR,0
all_sample,10,A_strict_38,naive_majority,validation,RI,MD,0
all_sample,10,A_strict_38,naive_majority,validation,RI,RI,0
all_sample,10,A_strict_38,naive_majority,validation,RI,RW,0
all_sample,10,A_strict_38,naive_majority,validation,RI,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,RI,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,RI,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,RI,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,RW,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,RW,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,RW,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,RW,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,RW,LR,0
all_sample,10,A_strict_38,naive_majority,validation,RW,MD,0
all_sample,10,A_strict_38,naive_majority,validation,RW,RI,0
all_sample,10,A_strict_38,naive_majority,validation,RW,RW,0
all_sample,10,A_strict_38,naive_majority,validation,RW,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,RW,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,RW,SLBIC,0
all_sample,10,A_strict_38,naive_majority,validation,RW,SLBOC,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,FLB,10
all_sample,10,A_strict_38,naive_majority,validation,SGATR,LLB,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,LOCA,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,LOCAC,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,LR,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,MD,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,RI,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,RW,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,SGATR,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,SGBTR,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,SLBIC,0
