scope,window_s,input_group,model,eval_split,accident_class,recall,support,correct
all_sample,10,A_strict_38,naive_majority,validation,FLB,1.0,10,10
all_sample,10,A_strict_38,naive_majority,validation,LLB,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,LOCA,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,LOCAC,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,LR,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,MD,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,RI,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,RW,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,SGATR,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,SGBTR,0.0,11,0
all_sample,10,A_strict_38,naive_majority,validation,SLBIC,0.0,10,0
all_sample,10,A_strict_38,naive_majority,validation,SLBOC,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,FLB,1.0,10,10
all_sample,10,A_strict_38,naive_majority,test,LLB,0.0,11,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,LR,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,MD,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,RI,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,RW,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,0.0,10,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,0.0,11,0
all_sample,10,A_strict_38,naive_majority,test,SLBIC,0.0,11,0
all_sample,10,A_strict_38,naive_majority,test,SLBOC,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,FLB,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,LLB,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,LOCA,1.0,10,10
all_sample,10,A_strict_38,logistic_regression,validation,LOCAC,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,LR,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,MD,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,RI,0.0,10,0
all_sample,10,A_strict_38,logistic_regression,validation,RW,1.0,10,10
all_sample,10,A_strict_38,logistic_regression,validation,SGATR,0.0,10,0
