sample_id,accident_class,split,window_s,first_protection_s,protection_time_known,strict_pre_protection,sample_count,first_sample_s,last_sample_s,sample_points_s
FLB_1,FLB,test,10,,False,False,1,10.0,10.0,10
FLB_10,FLB,train,10,687.0,True,True,1,10.0,10.0,10
FLB_100,FLB,train,10,164.0,True,True,1,10.0,10.0,10
FLB_11,FLB,test,10,633.5,True,True,1,10.0,10.0,10
FLB_12,FLB,validation,10,589.5,True,True,1,10.0,10.0,10
FLB_13,FLB,train,10,552.5,True,True,1,10.0,10.0,10
FLB_14,FLB,train,10,520.0,True,True,1,10.0,10.0,10
FLB_15,FLB,train,10,493.0,True,True,1,10.0,10.0,10
FLB_16,FLB,train,10,468.5,True,True,1,10.0,10.0,10
FLB_17,FLB,train,10,447.0,True,True,1,10.0,10.0,10
FLB_18,FLB,train,10,428.5,True,True,1,10.0,10.0,10
FLB_19,FLB,train,10,411.0,True,True,1,10.0,10.0,10
FLB_2,FLB,validation,10,2958.5,True,True,1,10.0,10.0,10
FLB_20,FLB,train,10,396.0,True,True,1,10.0,10.0,10
FLB_21,FLB,test,10,382.0,True,True,1,10.0,10.0,10
FLB_22,FLB,validation,10,369.5,True,True,1,10.0,10.0,10
FLB_23,FLB,train,10,358.0,True,True,1,10.0,10.0,10
FLB_24,FLB,train,10,347.5,True,True,1,10.0,10.0,10
FLB_25,FLB,train,10,338.0,True,True,1,10.0,10.0,10
FLB_26,FLB,train,10,329.0,True,True,1,10.0,10.0,10
FLB_27,FLB,train,10,321.0,True,True,1,10.0,10.0,10
FLB_28,FLB,train,10,313.0,True,True,1,10.0,10.0,10
FLB_29,FLB,train,10,306.0,True,True,1,10.0,10.0,10
FLB_3,FLB,train,10,2033.0,True,True,1,10.0,10.0,10
FLB_30,FLB,train,10,299.5,True,True,1,10.0,10.0,10
FLB_31,FLB,test,10,293.0,True,True,1,10.0,10.0,10
FLB_32,FLB,validation,10,287.0,True,True,1,10.0,10.0,10
FLB_33,FLB,train,10,281.5,True,True,1,10.0,10.0,10
FLB_34,FLB,train,10,276.5,True,True,1,10.0,10.0,10
FLB_35,FLB,train,10,271.5,True,True,1,10.0,10.0,10
FLB_36,FLB,train,10,267.0,True,True,1,10.0,10.0,10
FLB_37,FLB,train,10,262.5,True,True,1,10.0,10.0,10
FLB_38,FLB,train,10,258.5,True,True,1,10.0,10.0,10
FLB_39,FLB,train,10,254.5,True,True,1,10.0,10.0,10
FLB_4,FLB,train,10,1569.5,True,True,1,10.0,10.0,10
FLB_40,FLB,train,10,251.0,True,True,1,10.0,10.0,10
FLB_41,FLB,test,10,247.5,True,True,1,10.0,10.0,10
FLB_42,FLB,validation,10,244.0,True,True,1,10.0,10.0,10
FLB_43,FLB,train,10,241.0,True,True,1,10.0,10.0,10
FLB_44,FLB,train,10,238.0,True,True,1,10.0,10.0,10
FLB_45,FLB,train,10,235.0,True,True,1,10.0,10.0,10
FLB_46,FLB,train,10,232.0,True,True,1,10.0,10.0,10
FLB_47,FLB,train,10,229.5,True,True,1,10.0,10.0,10
FLB_48,FLB,train,10,227.0,True,True,1,10.0,10.0,10
FLB_49,FLB,train,10,224.5,True,True,1,10.0,10.0,10
