cohort,scope,window_s,input_group,pair,left_class,right_class,n_splits,split_count_present,pair_frequency,stable_frequency_ge_50pct,pair_count_n,pair_count_mean,pair_count_std,pair_count_median,pair_count_min,pair_count_max,pair_count_ci95_low,pair_count_ci95_high,forward_count_mean,reverse_count_mean
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔LLB,FLB,LLB,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔LOCA,FLB,LOCA,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔LOCAC,FLB,LOCAC,10,9,0.9,True,10,14.8,5.3499740393970345,16.0,0.0,20.0,11.48405173609586,18.11594826390414,2.0,12.8
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔LR,FLB,LR,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔MD,FLB,MD,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔RI,FLB,RI,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔RW,FLB,RW,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔SGATR,FLB,SGATR,10,9,0.9,True,10,9.2,4.732863826479693,9.0,0.0,20.0,6.26654060876923,12.133459391230769,2.0,7.2
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔SGBTR,FLB,SGBTR,10,8,0.8,True,10,8.8,4.638007234913623,11.0,0.0,11.0,5.9253333333333345,11.674666666666667,0.0,8.8
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔SLBIC,FLB,SLBIC,10,8,0.8,True,10,12.4,6.619835513230085,15.0,0.0,17.0,8.296983440334554,16.503016559665447,0.0,12.4
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB↔SLBOC,FLB,SLBOC,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔LOCA,LLB,LOCA,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔LOCAC,LLB,LOCAC,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔LR,LLB,LR,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔MD,LLB,MD,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔RI,LLB,RI,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔RW,LLB,RW,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB↔SGATR,LLB,SGATR,10,0,0.0,False,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
