cohort,scope,window_s,input_group,accident_class,cohort_support,n_splits,n_evaluable_splits,support_mean,support_min,support_max,n_splits_support_ge_3,n_splits_support_ge_5,status,reliable_for_gate,recall_n,recall_mean,recall_std,recall_median,recall_min,recall_max,recall_ci95_low,recall_ci95_high
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,FLB,99,10,10,20.0,20,20,10,10,evaluable,True,10,0.8,0.42163702135578396,1.0,0.0,1.0,0.5386666666666666,1.0613333333333335
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LLB,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LOCA,76,10,10,15.0,15,15,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LOCAC,79,10,10,16.0,16,16,10,10,evaluable,True,10,0.1,0.31622776601683794,0.0,0.0,1.0,-0.09599999999999997,0.296
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,LR,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,MD,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,RI,28,10,10,6.0,6,6,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,RW,3,10,0,0.0,0,0,0,0,low_support,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,SGATR,44,10,10,9.0,9,9,10,10,evaluable,True,10,0.1,0.31622776601683794,0.0,0.0,1.0,-0.09599999999999997,0.296
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,SGBTR,54,10,10,11.0,11,11,10,10,evaluable,True,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,SLBIC,88,10,10,18.0,18,18,10,10,evaluable,True,10,0.1333333333333333,0.07943559477602673,0.1388888888888889,0.0,0.2222222222222222,0.08409864160397951,0.1825680250626871
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,SLBOC,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,FLB,99,10,10,20.0,20,20,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,LLB,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,LOCA,76,10,10,15.0,15,15,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,LOCAC,79,10,10,16.0,16,16,10,10,evaluable,True,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,LR,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,MD,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,RI,28,10,10,6.0,6,6,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,RW,3,10,0,0.0,0,0,0,0,low_support,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,SGATR,44,10,10,9.0,9,9,10,10,evaluable,True,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,SGBTR,54,10,10,11.0,11,11,10,10,evaluable,True,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,SLBIC,88,10,10,18.0,18,18,10,10,evaluable,True,10,0.1333333333333333,0.07943559477602673,0.1388888888888889,0.0,0.2222222222222222,0.08409864160397951,0.1825680250626871
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,SLBOC,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,FLB,99,10,10,20.0,20,20,10,10,evaluable,True,10,0.9,0.31622776601683794,1.0,0.0,1.0,0.7040000000000001,1.096
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,LLB,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,LOCA,76,10,10,15.0,15,15,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,LOCAC,79,10,10,16.0,16,16,10,10,evaluable,True,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,LR,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,MD,0,10,0,0.0,0,0,0,0,not_evaluable_no_strict_trajectory,False,0,,,,,,,
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,RI,28,10,10,6.0,6,6,10,10,evaluable,True,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
