cohort,scope,split_index,seed,window_s,group_accuracy,group_macro_f1_fixed_12,group_macro_f1_observed_classes,group_balanced_accuracy,model,training_mode,A_accuracy,A_macro_f1_fixed_12,A_macro_f1_observed_classes,A_balanced_accuracy,input_group,delta_accuracy_vs_A,delta_macro_f1_fixed_12_vs_A,delta_macro_f1_observed_classes_vs_A,delta_balanced_accuracy_vs_A
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,logistic_regression,class_balanced,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,2,20262939,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,3,20263948,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,4,20264957,120,0.9789473684210527,0.5734126984126985,0.9829931972789117,0.980952380952381,logistic_regression,class_balanced,0.9789473684210527,0.5734126984126985,0.9829931972789117,0.980952380952381,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,5,20265966,120,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,6,20266975,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,7,20267984,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,8,20268993,120,0.9789473684210527,0.5708171514623127,0.9785436882211076,0.9672619047619049,hist_gradient_boosting,class_balanced,0.9789473684210527,0.5708171514623127,0.9785436882211076,0.9672619047619049,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,9,20270002,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,A_strict_38,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,logistic_regression,class_balanced,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,2,20262939,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,3,20263948,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,4,20264957,120,0.9789473684210527,0.5734126984126985,0.9829931972789117,0.980952380952381,logistic_regression,class_balanced,0.9789473684210527,0.5734126984126985,0.9829931972789117,0.980952380952381,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,5,20265966,120,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,6,20266975,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,7,20267984,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,8,20268993,120,0.9789473684210527,0.5708171514623127,0.9785436882211076,0.9672619047619049,hist_gradient_boosting,class_balanced,0.9789473684210527,0.5708171514623127,0.9785436882211076,0.9672619047619049,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,9,20270002,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,B_without_potential_leakage,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,logistic_regression,class_balanced,0.9894736842105263,0.5784272497897393,0.9915895710681245,0.9904761904761905,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,2,20262939,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,1.0,0.5833333333333334,1.0,1.0,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,3,20263948,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,4,20264957,120,1.0,0.5833333333333334,1.0,1.0,hist_gradient_boosting,class_balanced,0.9789473684210527,0.5734126984126985,0.9829931972789117,0.980952380952381,C_without_SLBIC_initial,0.021052631578947323,0.009920634920634885,0.017006802721088343,0.01904761904761898
strict_matched_30_60_90_120,strict_pre_protection_only,5,20265966,120,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5757575757575758,0.987012987012987,0.9761904761904763,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
strict_matched_30_60_90_120,strict_pre_protection_only,6,20266975,120,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,hist_gradient_boosting,class_balanced,0.9894736842105263,0.5783929090380703,0.9915307012081206,0.9910714285714286,C_without_SLBIC_initial,0.0,0.0,0.0,0.0
