sample_id,split_index,seed,partition,cohort,scope
FLB_10,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_100,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_11,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_12,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_13,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_14,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_16,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_2,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_26,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_27,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_28,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_29,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_3,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_31,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_32,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_33,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_34,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_35,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_37,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_38,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_39,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_4,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_41,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_43,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_46,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_47,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_48,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_49,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_5,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_50,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_51,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_52,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_54,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_56,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_57,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_59,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_61,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_63,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_66,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_67,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_69,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_7,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_71,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_72,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_74,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_75,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_76,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_79,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_82,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_84,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_86,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_88,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_89,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_9,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_92,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_94,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_96,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_97,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
FLB_99,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_1,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_10,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_12,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_13,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_14,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_15,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_18,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_19,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_20,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_21,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_22,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_23,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_24,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_25,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_28,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_29,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
LOCAC_3,0,20260921,train,strict_matched_30_60_90_120,strict_pre_protection_only
