cohort,scope,split_index,seed,window_s,accident_class,cohort_support,train_support,validation_support,test_support,test_support_lt_3,test_support_lt_5,support_status
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,30,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,60,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,90,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,0,20260921,120,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,30,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,60,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,LOCA,76,46,15,15,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,LOCAC,79,47,16,16,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,LR,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,MD,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,RI,28,17,5,6,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,RW,3,2,1,0,True,True,low_support
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,SGATR,44,26,9,9,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,SGBTR,54,32,11,11,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,SLBIC,88,53,17,18,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,90,SLBOC,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,FLB,99,59,20,20,False,False,adequate_for_audit
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,LLB,0,0,0,0,True,True,not_evaluable_no_strict_trajectory
strict_matched_30_60_90_120,strict_pre_protection_only,1,20261930,120,LOCA,76,46,15,15,False,False,adequate_for_audit
