sample_id,accident_class,numeric_case_id,operation_csv,transient_report,report_exists,report_line_count,injection_s,injection_event,injection_parse_ok,first_protection_s,first_protection_event,first_protection_category,protection_match_count,protection_categories,protection_match_examples,event_parse_ok,parser_version
FLB_1,FLB,1,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/1Transient Report.txt,True,2,0.5,Malfunction # 13 Fraction = 01.0 %,True,,,,0,,,False,13_generic_taxonomy_v1
FLB_10,FLB,10,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/10.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/10Transient Report.txt,True,41,0.5,Malfunction # 13 Fraction = 10.0 %,True,687.0,HPSI start high RB Press 1.30 bar,hpsi_start,19,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"687 sec, HPSI start high RB Press 1.30 bar || 687 sec, HPI Pump #1 Position Change: 100% || 687 sec, HPI Pump #2 Position Change: 100% || 688 sec, Reactor Scram || 2002.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2045.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2085.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2123.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_100,FLB,100,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/100.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/100Transient Report.txt,True,18,0.5,Malfunction # 13 Fraction = 100.0 %,True,164.0,HPSI start high RB Press 1.30 bar,hpsi_start,8,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"164 sec, HPSI start high RB Press 1.30 bar || 164 sec, HPI Pump #1 Position Change: 100% || 164 sec, HPI Pump #2 Position Change: 100% || 165 sec, Reactor Scram || 1474.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1517.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1558 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1598 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_11,FLB,11,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/11.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/11Transient Report.txt,True,37,0.5,Malfunction # 13 Fraction = 11.0 %,True,633.5,HPSI start high RB Press 1.30 bar,hpsi_start,17,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"633.5 sec, HPSI start high RB Press 1.30 bar || 633.5 sec, HPI Pump #1 Position Change: 100% || 633.5 sec, HPI Pump #2 Position Change: 100% || 634.5 sec, Reactor Scram || 1949 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1992 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2032 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2070 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_12,FLB,12,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/12.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/12Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 12.0 %,True,589.5,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"589.5 sec, HPSI start high RB Press 1.30 bar || 589.5 sec, HPI Pump #1 Position Change: 100% || 589.5 sec, HPI Pump #2 Position Change: 100% || 590.5 sec, Reactor Scram || 1905 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1948 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1988 sec, PZR Safety Relief Valve #0 Position Change: 100% || 2026 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_13,FLB,13,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/13.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/13Transient Report.txt,True,50,0.5,Malfunction # 13 Fraction = 13.0 %,True,552.5,HPSI start high RB Press 1.30 bar,hpsi_start,23,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"552.5 sec, HPSI start high RB Press 1.30 bar || 552.5 sec, HPI Pump #1 Position Change: 100% || 552.5 sec, HPI Pump #2 Position Change: 100% || 553.5 sec, Reactor Scram || 1868 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1911 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1951 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1989 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_14,FLB,14,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/14.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/14Transient Report.txt,True,48,0.5,Malfunction # 13 Fraction = 14.0 %,True,520.0,HPSI start high RB Press 1.30 bar,hpsi_start,22,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"520 sec, HPSI start high RB Press 1.30 bar || 520 sec, HPI Pump #1 Position Change: 100% || 520 sec, HPI Pump #2 Position Change: 100% || 521 sec, Reactor Scram || 1832.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1875.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1916 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1956 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_15,FLB,15,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/15.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/15Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 15.0 %,True,493.0,HPSI start high RB Press 1.30 bar,hpsi_start,25,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"493 sec, HPSI start high RB Press 1.30 bar || 493 sec, HPI Pump #1 Position Change: 100% || 493 sec, HPI Pump #2 Position Change: 100% || 494 sec, Reactor Scram || 1806 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1849 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1889.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1929.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_16,FLB,16,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/16.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/16Transient Report.txt,True,54,0.5,Malfunction # 13 Fraction = 16.0 %,True,468.5,HPSI start high RB Press 1.30 bar,hpsi_start,25,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"468.5 sec, HPSI start high RB Press 1.30 bar || 468.5 sec, HPI Pump #1 Position Change: 100% || 468.5 sec, HPI Pump #2 Position Change: 100% || 469.5 sec, Reactor Scram || 1784 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1827 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1867 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1905 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_17,FLB,17,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/17.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/17Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 17.0 %,True,447.0,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"447 sec, HPSI start high RB Press 1.30 bar || 447 sec, HPI Pump #1 Position Change: 100% || 447 sec, HPI Pump #2 Position Change: 100% || 448 sec, Reactor Scram || 1761.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1804.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1844.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1882.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
FLB_18,FLB,18,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/18.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/18Transient Report.txt,True,56,0.5,Malfunction # 13 Fraction = 18.0 %,True,428.5,HPSI start high RB Press 1.30 bar,hpsi_start,26,hpsi_start;hpi_pump_start;reactor_scram;safety_relief_valve_open,"428.5 sec, HPSI start high RB Press 1.30 bar || 428.5 sec, HPI Pump #1 Position Change: 100% || 428.5 sec, HPI Pump #2 Position Change: 100% || 429.5 sec, Reactor Scram || 1743 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1786 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1826.5 sec, PZR Safety Relief Valve #0 Position Change: 100% || 1866.5 sec, PZR Safety Relief Valve #0 Position Change: 100%",True,13_generic_taxonomy_v1
