split_type,split_id,sample_id,accident_class,test_severity,nearest_train_severity,nearest_severity_gap
random,seed_20260921,SGBTR_57,SGBTR,57.0,60.0,3.0
random,seed_20260921,LOCAC_33,LOCAC,33.0,34.0,1.0
random,seed_20260921,FLB_55,FLB,55.0,54.0,1.0
random,seed_20260921,FLB_40,FLB,40.0,37.0,3.0
random,seed_20260921,LOCAC_67,LOCAC,67.0,68.0,1.0
random,seed_20260921,LOCA_75,LOCA,75.0,74.0,1.0
random,seed_20260921,SLBIC_34,SLBIC,34.0,36.0,2.0
random,seed_20260921,FLB_12,FLB,12.0,13.0,1.0
random,seed_20260921,LOCA_59,LOCA,59.0,60.0,1.0
random,seed_20260921,LR_93,LR,93.0,94.0,1.0
random,seed_20260921,LOCAC_20,LOCAC,20.0,22.0,2.0
random,seed_20260921,FLB_62,FLB,62.0,61.0,1.0
random,seed_20260921,FLB_41,FLB,41.0,43.0,2.0
random,seed_20260921,LOCAC_54,LOCAC,54.0,55.0,1.0
random,seed_20260921,FLB_14,FLB,14.0,13.0,1.0
random,seed_20260921,SLBIC_42,SLBIC,42.0,41.0,1.0
random,seed_20260921,LOCAC_24,LOCAC,24.0,23.0,1.0
random,seed_20260921,SGBTR_83,SGBTR,83.0,82.0,1.0
random,seed_20260921,LOCAC_19,LOCAC,19.0,17.0,2.0
random,seed_20260921,SGATR_79,SGATR,79.0,80.0,1.0
random,seed_20260921,LOCA_40,LOCA,40.0,38.0,2.0
random,seed_20260921,SLBIC_37,SLBIC,37.0,36.0,1.0
random,seed_20260921,SGATR_82,SGATR,82.0,81.0,1.0
random,seed_20260921,SGBTR_100,SGBTR,100.0,101.0,1.0
random,seed_20260921,SLBIC_67,SLBIC,67.0,70.0,3.0
random,seed_20260921,SGBTR_85,SGBTR,85.0,84.0,1.0
random,seed_20260921,SLBIC_66,SLBIC,66.0,62.0,4.0
random,seed_20260921,LOCA_42,LOCA,42.0,44.0,2.0
random,seed_20260921,LOCAC_71,LOCAC,71.0,72.0,1.0
random,seed_20260921,FLB_10,FLB,10.0,11.0,1.0
random,seed_20260921,LOCAC_12,LOCAC,12.0,11.0,1.0
random,seed_20260921,SLBIC_18,SLBIC,18.0,17.0,1.0
random,seed_20260921,LOCA_19,LOCA,19.0,18.0,1.0
random,seed_20260921,LOCAC_53,LOCAC,53.0,52.0,1.0
random,seed_20260921,LOCAC_77,LOCAC,77.0,78.0,1.0
random,seed_20260921,FLB_52,FLB,52.0,51.0,1.0
random,seed_20260921,SLBIC_16,SLBIC,16.0,17.0,1.0
random,seed_20260921,LOCAC_3,LOCAC,3.0,2.0,1.0
random,seed_20260921,LR_95,LR,95.0,94.0,1.0
random,seed_20260921,SGATR_57,SGATR,57.0,59.0,2.0
random,seed_20260921,SGATR_92,SGATR,92.0,91.0,1.0
random,seed_20260921,LOCA_77,LOCA,77.0,76.0,1.0
random,seed_20260921,SGBTR_95,SGBTR,95.0,94.0,1.0
random,seed_20260921,SGBTR_59,SGBTR,59.0,60.0,1.0
random,seed_20260921,FLB_72,FLB,72.0,71.0,1.0
random,seed_20260921,LOCA_5,LOCA,5.0,4.0,1.0
random,seed_20260921,SLBIC_27,SLBIC,27.0,26.0,1.0
random,seed_20260921,LOCAC_39,LOCAC,39.0,38.0,1.0
random,seed_20260921,RI_-20,RI,-20.0,-19.0,1.0
random,seed_20260921,SLBIC_68,SLBIC,68.0,70.0,2.0
random,seed_20260921,SGATR_68,SGATR,68.0,69.0,1.0
