split_type,split_id,seed,sample_id,accident_class,severity,severity_definition,partition,severity_source
random,seed_20260921,20260921,SLBIC_99,SLBIC,99.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_69,SGATR,69.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_38,LOCA,38.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_66,SGATR,66.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_88,SGBTR,88.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_75,FLB,75.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_23,SLBIC,23.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_31,LOCA,31.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_12,LOCA,12.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_41,SLBIC,41.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_63,LOCAC,63.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_100,SGATR,100.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_64,SGBTR,64.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_10,LOCAC,10.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_21,LOCA,21.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_47,SLBIC,47.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_49,LOCA,49.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_68,LOCAC,68.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-13,RI,-13.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_65,SGATR,65.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_36,LOCAC,36.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_90,SGBTR,90.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_24,FLB,24.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_8,LOCAC,8.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_74,LOCA,74.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_88,FLB,88.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_84,SLBIC,84.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_30,LOCA,30.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_68,SGBTR,68.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_17,SLBIC,17.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-25,RI,-25.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_64,SGATR,64.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_67,SGBTR,67.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_52,LOCAC,52.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_74,SGATR,74.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_6,LOCAC,6.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_100,FLB,100.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_14,LOCAC,14.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_108,SGBTR,108.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_81,SGATR,81.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCAC_29,LOCAC,29.0,% of 100 cm2 cold-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_92,SGBTR,92.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_34,FLB,34.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_48,FLB,48.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-1,RI,-1.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGBTR_101,SGBTR,101.0,% of one full steam-generator-B tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_46,SLBIC,46.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_96,FLB,96.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,LOCA_61,LOCA,61.0,% of 100 cm2 hot-leg break,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-9,RI,-9.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SGATR_86,SGATR,86.0,% of one full steam-generator-A tube rupture,train,NPPAD_README_case_number
random,seed_20260921,20260921,RI_-30,RI,-30.0,% of rods inserted,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_96,SLBIC,96.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_82,FLB,82.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,SLBIC_60,SLBIC,60.0,% of 100 cm2 inside-containment steam-line break,train,NPPAD_README_case_number
random,seed_20260921,20260921,FLB_7,FLB,7.0,% of 100 cm2 feedwater-line break,train,NPPAD_README_case_number
