split_type,direction,window_s,input_group,true_class,predicted_class,count
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,FLB,20
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,LOCA,16
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,RW,0
