split_type,direction,window_s,input_group,accident_class,n_splits,test_support_mean,test_support_min,main_confusion_target,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,nearest_severity_gap_mean_mean,nearest_severity_gap_mean_std,train_severity_min,train_severity_max,test_severity_min,test_severity_max
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,1,20.0,20,,1.0,0.0,1.0,0.0,1.0,0.0,27.5,0.0,2.0,63.0,81.0,100.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,1,16.0,16,,1.0,0.0,1.0,0.0,1.0,0.0,21.5,0.0,1.0,48.0,62.0,77.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,1,16.0,16,,0.9411764705882353,0.0,1.0,0.0,0.9696969696969697,0.0,21.5,0.0,1.0,50.0,64.0,79.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,1,6.0,6,,1.0,0.0,1.0,0.0,1.0,0.0,10.5,0.0,70.0,86.0,94.0,99.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,1,7.0,7,SGATR,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-35.0,-14.0,-7.0,-1.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,1,9.0,9,,0.6428571428571429,0.0,1.0,0.0,0.782608695652174,0.0,13.0,0.0,57.0,83.0,92.0,100.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,1,11.0,11,,1.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,57.0,90.0,100.0,110.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,1,18.0,18,,0.9473684210526315,0.0,1.0,0.0,0.972972972972973,0.0,24.5,0.0,14.0,68.0,84.0,101.0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,1,20.0,20,,0.7142857142857143,0.0,1.0,0.0,0.8333333333333334,0.0,27.5,0.0,39.0,100.0,2.0,21.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,1,16.0,16,,1.0,0.0,1.0,0.0,1.0,0.0,21.5,0.0,30.0,77.0,1.0,16.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,1,16.0,16,SGATR,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,30.0,79.0,1.0,16.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,1,6.0,6,,1.0,0.0,1.0,0.0,1.0,0.0,8.5,0.0,81.0,99.0,70.0,75.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,MD,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,RI,1,7.0,7,,0.4375,0.0,1.0,0.0,0.6086956521739131,0.0,11.0,0.0,-21.0,-1.0,-35.0,-29.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,RW,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SGATR,1,9.0,9,,0.42857142857142855,0.0,1.0,0.0,0.6,0.0,13.0,0.0,74.0,100.0,57.0,65.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SGBTR,1,11.0,11,,0.6875,0.0,1.0,0.0,0.8148148148148148,0.0,15.0,0.0,77.0,110.0,57.0,67.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SLBIC,1,18.0,18,RI,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,47.0,101.0,14.0,31.0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SLBOC,0,0.0,0,,,0.0,,0.0,,0.0,,0.0,,,,
