split_type,split_id,window_s,unit,label,train_support,validation_support,test_support,support_warning
random,seed_20260921,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20260921,60,family,feedwater_line_break,59,20,20,False
random,seed_20260921,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20260921,60,family,reactivity_and_control,23,7,7,False
random,seed_20260921,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20260921,60,family,steam_line_break,53,17,18,False
random,seed_20260921,60,family,turbine_and_load_transient,17,6,5,True
random,seed_20260921,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20260921,90,family,feedwater_line_break,59,20,20,False
random,seed_20260921,90,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20260921,90,family,reactivity_and_control,23,7,7,False
random,seed_20260921,90,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20260921,90,family,steam_line_break,53,17,18,False
random,seed_20260921,90,family,turbine_and_load_transient,17,6,5,True
random,seed_20260921,120,family,auxiliary_letdown_break,0,0,0,True
random,seed_20260921,120,family,feedwater_line_break,59,20,20,False
random,seed_20260921,120,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20260921,120,family,reactivity_and_control,23,7,7,False
random,seed_20260921,120,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20260921,120,family,steam_line_break,53,17,18,False
random,seed_20260921,120,family,turbine_and_load_transient,17,6,5,True
random,seed_20261930,60,family,auxiliary_letdown_break,0,0,0,True
random,seed_20261930,60,family,feedwater_line_break,59,20,20,False
random,seed_20261930,60,family,primary_coolant_boundary_break,93,31,31,False
random,seed_20261930,60,family,reactivity_and_control,22,8,7,False
random,seed_20261930,60,family,steam_generator_tube_rupture,58,20,20,False
random,seed_20261930,60,family,steam_line_break,53,17,18,False
random,seed_20261930,60,family,turbine_and_load_transient,18,5,5,True
random,seed_20261930,90,family,auxiliary_letdown_break,0,0,0,True
random,seed_20261930,90,family,feedwater_line_break,59,20,20,False
random,seed_20261930,90,family,primary_coolant_boundary_break,93,31,31,False
