split_type,split_id,window_s,feature,severity_dependency_max_abs_spearman,class_signal_max_between_share,class_signal_train_median,removed,screening_rule
random,seed_20260921,60,P,0.5393950909679599,0.8663001692379101,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TAVG,0.5393950909679599,0.966616342147339,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,THA,0.5393950909679599,0.9908069083197152,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,THB,0.5393950909679599,0.9907431554983218,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TCA,0.5393950909679599,0.997414231019048,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TCB,0.5393950909679599,0.997408530390702,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WRCA,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WRCB,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,PSGA,0.5393950909679599,0.9963546659628569,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,PSGB,0.5393950909679599,0.996356422703575,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WFWA,0.5393950909679599,0.9999892762735074,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WFWB,0.5393950909679599,0.9999896210668993,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WSTA,0.5353384722975936,0.9999999999598719,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,WSTB,0.48699330514815536,0.9999999999976196,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,VOL,0.5353384722975936,0.7842683349227011,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,LVPZ,0.5353384722975936,0.7843932262836663,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,QMWT,0.5393950909679599,0.9999630487650678,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,LSGA,0.42024513821337395,0.9996633122375618,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,LSGB,0.42024513821337395,0.9996627369552848,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,QMGA,0.5393950909679599,0.9999976127672969,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,QMGB,0.5393950909679599,0.9999975448680584,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,NSGA,0.5297257929331627,0.9997854122581811,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,NSGB,0.5297257929331627,0.9997794066025556,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TSAT,0.5393950909679599,0.8502516193502359,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,LVCR,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RHBR,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RHMT,0.5393950909679599,0.9861322979574854,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RHFL,0.5393950909679599,0.9869104017125372,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RH,0.5393950909679599,0.9992073819003551,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,PWNT,0.5393950909679599,0.9998789227193992,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,PWR,0.5393950909679599,0.9998482350186744,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TFSB,0.5393950909679599,0.9997444941423419,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TFPK,0.5393950909679599,0.9997357368691804,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,TF,0.5393950909679599,0.9997357368691804,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,PPM,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RRCA,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RRCB,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,60,RRCO,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,P,0.5353384722975936,0.9616644349089504,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TAVG,0.5393950909679599,0.987476570852876,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,THA,0.5393950909679599,0.9967528527079884,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,THB,0.5393950909679599,0.9967284568502421,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TCA,0.5393950909679599,0.9987470500963745,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TCB,0.5393950909679599,0.9987420231316786,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WRCA,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WRCB,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PSGA,0.5393950909679599,0.998590289647657,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PSGB,0.5393950909679599,0.9985906772360942,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WFWA,0.5393950909679599,0.9999886972792441,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WFWB,0.5393950909679599,0.9999889162550125,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WSTA,0.5353384722975936,0.9999999999084991,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WSTB,0.13351231050920398,0.9999999999582567,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,VOL,0.5353384722975936,0.8200605719446777,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LVPZ,0.5353384722975936,0.8202201875011353,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMWT,0.5393950909679599,0.999999832333803,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LSGA,0.42024513821337395,0.9999408625680954,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LSGB,0.42024513821337395,0.9999409793543987,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMGA,0.5393950909679599,0.9999993480523082,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMGB,0.5393950909679599,0.9999993128114677,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,NSGA,0.5393950909679599,0.9998966607377159,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
