split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,eligible_families
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20260921,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20260921,60,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20260921,90,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20260921,90,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20260921,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20260921,90,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20260921,120,family_model,hist_gradient_boosting,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20260921,120,fine_grained_12_class,hist_gradient_boosting,True,1.0,0.6666666666666666,1.0,1.0,8,5,
random,seed_20260921,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20260921,120,two_stage_end_to_end,family_then_subtype,True,1.0,0.6666666666666666,1.0,1.0,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20261930,60,family_model,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20261930,60,fine_grained_12_class,hist_gradient_boosting,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,
random,seed_20261930,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20261930,60,two_stage_end_to_end,family_then_subtype,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20261930,90,family_model,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20261930,90,fine_grained_12_class,hist_gradient_boosting,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,
random,seed_20261930,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20261930,90,two_stage_end_to_end,family_then_subtype,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20261930,120,family_model,random_forest,True,0.9702970297029703,0.8392152096752581,0.9790844112878011,0.9838709677419355,6,5,
random,seed_20261930,120,fine_grained_12_class,hist_gradient_boosting,True,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,
random,seed_20261930,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.9900990099009901,0.850939932907146,0.9927632550583371,0.9946236559139785,6,5,
random,seed_20261930,120,two_stage_end_to_end,family_then_subtype,True,0.9702970297029703,0.6490408511960236,0.9735612767940355,0.9760416666666667,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20262939,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20262939,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20262939,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20262939,60,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20262939,90,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20262939,90,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20262939,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20262939,90,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
