split_type,direction,window_s,input_group,accident_class,precision,recall,f1,test_support,main_confusion_target,nearest_severity_gap_mean,train_severity_min,train_severity_max,test_severity_min,test_severity_max,n_train_class
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,FLB,1.0,1.0,1.0,20,,27.5,2.0,63.0,81.0,100.0,62
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LLB,,,,0,,,,,,,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,1.0,1.0,1.0,16,,21.5,1.0,48.0,62.0,77.0,47
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,0.9411764705882353,1.0,0.9696969696969697,16,,21.5,1.0,50.0,64.0,79.0,50
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,1.0,1.0,1.0,6,,10.5,70.0,86.0,94.0,99.0,17
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,,,,0,,,,,,,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,0.0,0.0,0.0,7,SGATR,10.0,-35.0,-14.0,-7.0,-1.0,21
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,,,,0,,,,,,,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,0.6428571428571429,1.0,0.782608695652174,9,,13.0,57.0,83.0,92.0,100.0,27
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,1.0,1.0,1.0,11,,15.0,57.0,90.0,100.0,110.0,34
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,0.9473684210526315,1.0,0.972972972972973,18,,24.5,14.0,68.0,84.0,101.0,55
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,,,,0,,,,,,,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,0.7142857142857143,1.0,0.8333333333333334,20,,27.5,39.0,100.0,2.0,21.0,62
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,,,,0,,,,,,,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,1.0,1.0,1.0,16,,21.5,30.0,77.0,1.0,16.0,47
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,0.0,0.0,0.0,16,SGATR,21.5,30.0,79.0,1.0,16.0,50
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,1.0,1.0,1.0,6,,8.5,81.0,99.0,70.0,75.0,17
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,MD,,,,0,,,,,,,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,RI,0.4375,1.0,0.6086956521739131,7,,11.0,-21.0,-1.0,-35.0,-29.0,21
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,RW,,,,0,,,,,,,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SGATR,0.42857142857142855,1.0,0.6,9,,13.0,74.0,100.0,57.0,65.0,27
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SGBTR,0.6875,1.0,0.8148148148148148,11,,15.0,77.0,110.0,57.0,67.0,34
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SLBIC,0.0,0.0,0.0,18,RI,24.5,47.0,101.0,14.0,31.0,55
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,SLBOC,,,,0,,,,,,,0
