split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
random,seed_20260921,60,A_absolute_38,FLB,FLB,20,20
random,seed_20260921,60,A_absolute_38,FLB,LLB,0,20
random,seed_20260921,60,A_absolute_38,FLB,LOCA,0,20
random,seed_20260921,60,A_absolute_38,FLB,LOCAC,0,20
random,seed_20260921,60,A_absolute_38,FLB,LR,0,20
random,seed_20260921,60,A_absolute_38,FLB,MD,0,20
random,seed_20260921,60,A_absolute_38,FLB,RI,0,20
random,seed_20260921,60,A_absolute_38,FLB,RW,0,20
random,seed_20260921,60,A_absolute_38,FLB,SGATR,0,20
random,seed_20260921,60,A_absolute_38,FLB,SGBTR,0,20
random,seed_20260921,60,A_absolute_38,FLB,SLBIC,0,20
random,seed_20260921,60,A_absolute_38,FLB,SLBOC,0,20
random,seed_20260921,60,A_absolute_38,LLB,FLB,0,0
random,seed_20260921,60,A_absolute_38,LLB,LLB,0,0
random,seed_20260921,60,A_absolute_38,LLB,LOCA,0,0
random,seed_20260921,60,A_absolute_38,LLB,LOCAC,0,0
random,seed_20260921,60,A_absolute_38,LLB,LR,0,0
random,seed_20260921,60,A_absolute_38,LLB,MD,0,0
random,seed_20260921,60,A_absolute_38,LLB,RI,0,0
random,seed_20260921,60,A_absolute_38,LLB,RW,0,0
random,seed_20260921,60,A_absolute_38,LLB,SGATR,0,0
random,seed_20260921,60,A_absolute_38,LLB,SGBTR,0,0
random,seed_20260921,60,A_absolute_38,LLB,SLBIC,0,0
random,seed_20260921,60,A_absolute_38,LLB,SLBOC,0,0
random,seed_20260921,60,A_absolute_38,LOCA,FLB,0,15
random,seed_20260921,60,A_absolute_38,LOCA,LLB,0,15
random,seed_20260921,60,A_absolute_38,LOCA,LOCA,15,15
random,seed_20260921,60,A_absolute_38,LOCA,LOCAC,0,15
random,seed_20260921,60,A_absolute_38,LOCA,LR,0,15
random,seed_20260921,60,A_absolute_38,LOCA,MD,0,15
random,seed_20260921,60,A_absolute_38,LOCA,RI,0,15
random,seed_20260921,60,A_absolute_38,LOCA,RW,0,15
random,seed_20260921,60,A_absolute_38,LOCA,SGATR,0,15
random,seed_20260921,60,A_absolute_38,LOCA,SGBTR,0,15
random,seed_20260921,60,A_absolute_38,LOCA,SLBIC,0,15
random,seed_20260921,60,A_absolute_38,LOCA,SLBOC,0,15
random,seed_20260921,60,A_absolute_38,LOCAC,FLB,16,16
random,seed_20260921,60,A_absolute_38,LOCAC,LLB,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,LOCA,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,LOCAC,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,LR,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,MD,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,RI,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,RW,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,SGATR,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,SGBTR,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,SLBIC,0,16
random,seed_20260921,60,A_absolute_38,LOCAC,SLBOC,0,16
random,seed_20260921,60,A_absolute_38,LR,FLB,5,5
random,seed_20260921,60,A_absolute_38,LR,LLB,0,5
random,seed_20260921,60,A_absolute_38,LR,LOCA,0,5
random,seed_20260921,60,A_absolute_38,LR,LOCAC,0,5
random,seed_20260921,60,A_absolute_38,LR,LR,0,5
random,seed_20260921,60,A_absolute_38,LR,MD,0,5
random,seed_20260921,60,A_absolute_38,LR,RI,0,5
random,seed_20260921,60,A_absolute_38,LR,RW,0,5
random,seed_20260921,60,A_absolute_38,LR,SGATR,0,5
random,seed_20260921,60,A_absolute_38,LR,SGBTR,0,5
random,seed_20260921,60,A_absolute_38,LR,SLBIC,0,5
random,seed_20260921,60,A_absolute_38,LR,SLBOC,0,5
random,seed_20260921,60,A_absolute_38,MD,FLB,0,0
random,seed_20260921,60,A_absolute_38,MD,LLB,0,0
random,seed_20260921,60,A_absolute_38,MD,LOCA,0,0
random,seed_20260921,60,A_absolute_38,MD,LOCAC,0,0
random,seed_20260921,60,A_absolute_38,MD,LR,0,0
random,seed_20260921,60,A_absolute_38,MD,MD,0,0
random,seed_20260921,60,A_absolute_38,MD,RI,0,0
random,seed_20260921,60,A_absolute_38,MD,RW,0,0
random,seed_20260921,60,A_absolute_38,MD,SGATR,0,0
random,seed_20260921,60,A_absolute_38,MD,SGBTR,0,0
random,seed_20260921,60,A_absolute_38,MD,SLBIC,0,0
random,seed_20260921,60,A_absolute_38,MD,SLBOC,0,0
random,seed_20260921,60,A_absolute_38,RI,FLB,0,7
random,seed_20260921,60,A_absolute_38,RI,LLB,0,7
random,seed_20260921,60,A_absolute_38,RI,LOCA,0,7
random,seed_20260921,60,A_absolute_38,RI,LOCAC,0,7
random,seed_20260921,60,A_absolute_38,RI,LR,0,7
random,seed_20260921,60,A_absolute_38,RI,MD,0,7
random,seed_20260921,60,A_absolute_38,RI,RI,7,7
random,seed_20260921,60,A_absolute_38,RI,RW,0,7
random,seed_20260921,60,A_absolute_38,RI,SGATR,0,7
random,seed_20260921,60,A_absolute_38,RI,SGBTR,0,7
random,seed_20260921,60,A_absolute_38,RI,SLBIC,0,7
random,seed_20260921,60,A_absolute_38,RI,SLBOC,0,7
random,seed_20260921,60,A_absolute_38,RW,FLB,0,0
random,seed_20260921,60,A_absolute_38,RW,LLB,0,0
random,seed_20260921,60,A_absolute_38,RW,LOCA,0,0
random,seed_20260921,60,A_absolute_38,RW,LOCAC,0,0
random,seed_20260921,60,A_absolute_38,RW,LR,0,0
random,seed_20260921,60,A_absolute_38,RW,MD,0,0
random,seed_20260921,60,A_absolute_38,RW,RI,0,0
random,seed_20260921,60,A_absolute_38,RW,RW,0,0
random,seed_20260921,60,A_absolute_38,RW,SGATR,0,0
random,seed_20260921,60,A_absolute_38,RW,SGBTR,0,0
random,seed_20260921,60,A_absolute_38,RW,SLBIC,0,0
random,seed_20260921,60,A_absolute_38,RW,SLBOC,0,0
random,seed_20260921,60,A_absolute_38,SGATR,FLB,9,9
random,seed_20260921,60,A_absolute_38,SGATR,LLB,0,9
random,seed_20260921,60,A_absolute_38,SGATR,LOCA,0,9
random,seed_20260921,60,A_absolute_38,SGATR,LOCAC,0,9
random,seed_20260921,60,A_absolute_38,SGATR,LR,0,9
random,seed_20260921,60,A_absolute_38,SGATR,MD,0,9
random,seed_20260921,60,A_absolute_38,SGATR,RI,0,9
random,seed_20260921,60,A_absolute_38,SGATR,RW,0,9
random,seed_20260921,60,A_absolute_38,SGATR,SGATR,0,9
random,seed_20260921,60,A_absolute_38,SGATR,SGBTR,0,9
random,seed_20260921,60,A_absolute_38,SGATR,SLBIC,0,9
random,seed_20260921,60,A_absolute_38,SGATR,SLBOC,0,9
random,seed_20260921,60,A_absolute_38,SGBTR,FLB,11,11
random,seed_20260921,60,A_absolute_38,SGBTR,LLB,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,LOCA,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,LOCAC,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,LR,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,MD,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,RI,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,RW,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,SGATR,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,SGBTR,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,SLBIC,0,11
random,seed_20260921,60,A_absolute_38,SGBTR,SLBOC,0,11
random,seed_20260921,60,A_absolute_38,SLBIC,FLB,15,18
random,seed_20260921,60,A_absolute_38,SLBIC,LLB,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,LOCA,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,LOCAC,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,LR,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,MD,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,RI,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,RW,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,SGATR,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,SGBTR,0,18
random,seed_20260921,60,A_absolute_38,SLBIC,SLBIC,3,18
random,seed_20260921,60,A_absolute_38,SLBIC,SLBOC,0,18
random,seed_20260921,60,A_absolute_38,SLBOC,FLB,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,LLB,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,LOCA,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,LOCAC,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,LR,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,MD,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,RI,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,RW,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,SGATR,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,SGBTR,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,SLBIC,0,0
random,seed_20260921,60,A_absolute_38,SLBOC,SLBOC,0,0
random,seed_20260921,60,B_relative_change,FLB,FLB,20,20
random,seed_20260921,60,B_relative_change,FLB,LLB,0,20
random,seed_20260921,60,B_relative_change,FLB,LOCA,0,20
random,seed_20260921,60,B_relative_change,FLB,LOCAC,0,20
random,seed_20260921,60,B_relative_change,FLB,LR,0,20
random,seed_20260921,60,B_relative_change,FLB,MD,0,20
random,seed_20260921,60,B_relative_change,FLB,RI,0,20
random,seed_20260921,60,B_relative_change,FLB,RW,0,20
random,seed_20260921,60,B_relative_change,FLB,SGATR,0,20
random,seed_20260921,60,B_relative_change,FLB,SGBTR,0,20
random,seed_20260921,60,B_relative_change,FLB,SLBIC,0,20
random,seed_20260921,60,B_relative_change,FLB,SLBOC,0,20
random,seed_20260921,60,B_relative_change,LLB,FLB,0,0
random,seed_20260921,60,B_relative_change,LLB,LLB,0,0
random,seed_20260921,60,B_relative_change,LLB,LOCA,0,0
random,seed_20260921,60,B_relative_change,LLB,LOCAC,0,0
random,seed_20260921,60,B_relative_change,LLB,LR,0,0
random,seed_20260921,60,B_relative_change,LLB,MD,0,0
random,seed_20260921,60,B_relative_change,LLB,RI,0,0
random,seed_20260921,60,B_relative_change,LLB,RW,0,0
random,seed_20260921,60,B_relative_change,LLB,SGATR,0,0
random,seed_20260921,60,B_relative_change,LLB,SGBTR,0,0
random,seed_20260921,60,B_relative_change,LLB,SLBIC,0,0
random,seed_20260921,60,B_relative_change,LLB,SLBOC,0,0
random,seed_20260921,60,B_relative_change,LOCA,FLB,0,15
random,seed_20260921,60,B_relative_change,LOCA,LLB,0,15
random,seed_20260921,60,B_relative_change,LOCA,LOCA,15,15
random,seed_20260921,60,B_relative_change,LOCA,LOCAC,0,15
random,seed_20260921,60,B_relative_change,LOCA,LR,0,15
random,seed_20260921,60,B_relative_change,LOCA,MD,0,15
random,seed_20260921,60,B_relative_change,LOCA,RI,0,15
random,seed_20260921,60,B_relative_change,LOCA,RW,0,15
random,seed_20260921,60,B_relative_change,LOCA,SGATR,0,15
random,seed_20260921,60,B_relative_change,LOCA,SGBTR,0,15
random,seed_20260921,60,B_relative_change,LOCA,SLBIC,0,15
random,seed_20260921,60,B_relative_change,LOCA,SLBOC,0,15
random,seed_20260921,60,B_relative_change,LOCAC,FLB,16,16
random,seed_20260921,60,B_relative_change,LOCAC,LLB,0,16
random,seed_20260921,60,B_relative_change,LOCAC,LOCA,0,16
random,seed_20260921,60,B_relative_change,LOCAC,LOCAC,0,16
random,seed_20260921,60,B_relative_change,LOCAC,LR,0,16
random,seed_20260921,60,B_relative_change,LOCAC,MD,0,16
random,seed_20260921,60,B_relative_change,LOCAC,RI,0,16
random,seed_20260921,60,B_relative_change,LOCAC,RW,0,16
random,seed_20260921,60,B_relative_change,LOCAC,SGATR,0,16
random,seed_20260921,60,B_relative_change,LOCAC,SGBTR,0,16
random,seed_20260921,60,B_relative_change,LOCAC,SLBIC,0,16
random,seed_20260921,60,B_relative_change,LOCAC,SLBOC,0,16
