split_type,split_id,seed,window_s,input_group,model,eval_split,n_train,n_validation,n_test,n_features,retained_raw_features,accuracy,macro_f1_fixed_12,macro_f1_observed_classes,balanced_accuracy,n_classes_eval,minimum_test_support,selected_for_test
random,seed_20260921,20260921.0,60,A_absolute_38,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,A_absolute_38,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,A_absolute_38,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,A_absolute_38,random_forest,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,A_absolute_38,hist_gradient_boosting,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,A_absolute_38,hist_gradient_boosting,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,60,B_relative_change,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,B_relative_change,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,B_relative_change,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,B_relative_change,random_forest,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,B_relative_change,hist_gradient_boosting,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,B_relative_change,hist_gradient_boosting,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,60,C_train_only_screened,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,C_train_only_screened,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,C_train_only_screened,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,C_train_only_screened,random_forest,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,60,C_train_only_screened,hist_gradient_boosting,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,60,C_train_only_screened,hist_gradient_boosting,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,90,A_absolute_38,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,A_absolute_38,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,90,A_absolute_38,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,A_absolute_38,random_forest,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,90,A_absolute_38,hist_gradient_boosting,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,A_absolute_38,hist_gradient_boosting,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,90,B_relative_change,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,B_relative_change,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,90,B_relative_change,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,B_relative_change,random_forest,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,90,B_relative_change,hist_gradient_boosting,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,B_relative_change,hist_gradient_boosting,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,90,C_train_only_screened,logistic_regression,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,C_train_only_screened,logistic_regression,test,303,101,101,190,38,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,False
random,seed_20260921,20260921.0,90,C_train_only_screened,random_forest,validation,303,101,101,190,38,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
