split_type,split_id,window_s,eval_split,mode,model,threshold,selected_threshold,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,balanced_accuracy,risk,selected_for_test,curve_point,calibration_folds,calibration_status
random,seed_20260921,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,1.0,0.6666666666666666,1.0,0.0,True,False,,
random,seed_20261930,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.99009900990099,0.6617262423714037,0.9921875,0.00990099009901002,True,False,,
random,seed_20262939,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.9603960396039604,0.6470925244181058,0.9677083333333334,0.03960396039603964,True,False,,
random,seed_20263948,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.99009900990099,0.6617262423714037,0.9921875,0.00990099009901002,True,False,,
random,seed_20264957,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.99009900990099,0.658004158004158,0.9821428571428572,0.00990099009901002,True,False,,
random,seed_20265966,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,1.0,0.6666666666666666,1.0,0.0,True,False,,
random,seed_20266975,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.9801980198019802,0.6546914160401003,0.9852430555555556,0.01980198019801982,True,False,,
random,seed_20267984,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,1.0,0.6666666666666666,1.0,0.0,True,False,,
random,seed_20268993,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.9504950495049505,0.6385477267830209,0.9534970238095238,0.04950495049504955,True,False,,
random,seed_20270002,120,test,forced_12_class,selected_14_baseline,0.0,0.0,101,101,0,1.0,0.9702970297029704,0.6507264210267548,0.965997023809524,0.02970297029702962,True,False,,
severity_blocked,low_block,120,test,forced_12_class,selected_14_baseline,0.0,0.0,103,103,0,1.0,0.8446601941747572,0.5522792022792024,0.8888888888888888,0.15533980582524276,True,False,,
severity_blocked,middle_block,120,test,forced_12_class,selected_14_baseline,0.0,0.0,103,103,0,1.0,1.0,0.6666666666666666,1.0,0.0,True,False,,
severity_blocked,high_block,120,test,forced_12_class,selected_14_baseline,0.0,0.0,103,103,0,1.0,0.9320388349514565,0.5604398865268431,0.875,0.06796116504854355,True,False,,
severity_extrapolation,low_train_to_high_test,120,test,forced_12_class,selected_14_baseline,0.0,0.0,103,103,0,1.0,0.9320388349514565,0.5604398865268431,0.875,0.06796116504854355,True,False,,
severity_extrapolation,high_train_to_low_test,120,test,forced_12_class,selected_14_baseline,0.0,0.0,103,103,0,1.0,0.6699029126213593,0.4047369833601718,0.75,0.33009708737864074,True,False,,
random,seed_20260921,120,validation,forced_family,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,False,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,False,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.05,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.1,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.15,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.2,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.25,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.3,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.35,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.4,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.45,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.5,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.55,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20260921,120,validation,family_selective_curve,hist_gradient_boosting,0.6,0.0,101,101,0,1.0,0.9900990099009901,0.8507193041150887,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
