window_s,feature_group,mechanism,accident_class,n_total,n_rejected,reject_rate,accepted_n,accepted_family_macro_f1,accepted_family_recall,nearest_gap_mean_rejected,nearest_gap_mean_accepted
120,A_strict_38,combination,LOCAC,240,110,0.4583333333333333,130,0.9883268482490273,0.9769230769230769,10.809090909090909,2.1615384615384614
120,A_strict_38,combination,RI,105,90,0.8571428571428571,15,1.0,1.0,3.8666666666666667,1.2
120,A_strict_38,combination,SLBIC,270,85,0.3148148148148148,185,0.9722222222222222,0.9459459459459459,5.235294117647059,7.5027027027027025
120,A_strict_38,conformal_alpha_0.10,LOCAC,240,37,0.15416666666666667,203,0.9925558312655087,0.9852216748768473,10.783783783783784,5.275862068965517
120,A_strict_38,conformal_alpha_0.10,RI,105,36,0.34285714285714286,69,1.0,1.0,4.75,2.8260869565217392
120,A_strict_38,conformal_alpha_0.10,SLBIC,270,81,0.3,189,0.9700272479564033,0.9417989417989417,5.172839506172839,7.481481481481482
120,A_strict_38,distance,LOCAC,240,121,0.5041666666666667,119,1.0,1.0,10.37190082644628,1.8067226890756303
120,A_strict_38,distance,RI,105,105,1.0,0,,,3.4857142857142858,
120,A_strict_38,distance,SLBIC,270,97,0.3592592592592593,173,1.0,1.0,14.154639175257731,2.658959537572254
120,A_strict_38,margin,LOCAC,240,72,0.3,168,0.990990990990991,0.9821428571428571,14.347222222222221,2.6011904761904763
120,A_strict_38,margin,RI,105,73,0.6952380952380952,32,1.0,1.0,3.958904109589041,2.40625
120,A_strict_38,margin,SLBIC,270,135,0.5,135,0.9772727272727273,0.9555555555555556,4.57037037037037,9.007407407407408
120,A_strict_38,probability,LOCAC,240,71,0.29583333333333334,169,0.991044776119403,0.9822485207100592,14.535211267605634,2.591715976331361
120,A_strict_38,probability,RI,105,71,0.6761904761904762,34,1.0,1.0,4.0,2.411764705882353
120,A_strict_38,probability,SLBIC,270,127,0.4703703703703704,143,0.96,0.9230769230769231,3.732283464566929,9.503496503496503
