split_type,split_id,window_s,feature_group,analysis_scope,mechanism,target_coverage,validation_threshold,validation_coverage,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20260921,120,A_strict_38,main,probability,0.5,0.9088459874852326,0.5148514851485149,101,50,51,0.49504950495049505,1.0,0.42857142857142855,1.0,0.0,0.504950495049505
random,seed_20260921,120,A_strict_38,main,probability,0.6,0.8959705511297297,0.6039603960396039,101,62,39,0.6138613861386139,1.0,0.5714285714285714,1.0,0.0,0.38613861386138615
random,seed_20260921,120,A_strict_38,main,probability,0.7,0.8930583456515205,0.8118811881188119,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20260921,120,A_strict_38,main,probability,0.8,0.8930583456515205,0.8118811881188119,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20260921,120,A_strict_38,main,probability,0.9,0.8354592210678161,0.9108910891089109,101,87,14,0.8613861386138614,1.0,0.8571428571428571,1.0,0.0,0.13861386138613863
random,seed_20260921,120,A_strict_38,main,probability,1.0,0.6799191163966136,1.0,101,99,2,0.9801980198019802,1.0,0.8571428571428571,1.0,0.0,0.01980198019801982
random,seed_20260921,120,A_strict_38,main,margin,0.5,0.8629952208013655,0.504950495049505,101,51,50,0.504950495049505,1.0,0.42857142857142855,1.0,0.0,0.49504950495049505
random,seed_20260921,120,A_strict_38,main,margin,0.6,0.8489361289553049,0.6138613861386139,101,62,39,0.6138613861386139,1.0,0.5714285714285714,1.0,0.0,0.38613861386138615
random,seed_20260921,120,A_strict_38,main,margin,0.7,0.84017947340373,0.8118811881188119,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20260921,120,A_strict_38,main,margin,0.8,0.84017947340373,0.8118811881188119,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20260921,120,A_strict_38,main,margin,0.9,0.7733161589109853,0.9108910891089109,101,89,12,0.8811881188118812,1.0,0.7142857142857143,1.0,0.0,0.1188118811881188
random,seed_20260921,120,A_strict_38,main,margin,1.0,0.39942020624590663,1.0,101,99,2,0.9801980198019802,1.0,0.8571428571428571,1.0,0.0,0.01980198019801982
random,seed_20260921,120,A_strict_38,main,distance,0.5,2.255882932873633,0.504950495049505,101,52,49,0.5148514851485149,1.0,0.5714285714285714,1.0,0.0,0.48514851485148514
random,seed_20260921,120,A_strict_38,main,distance,0.6,2.6457287822900137,0.6039603960396039,101,60,41,0.594059405940594,1.0,0.7142857142857143,1.0,0.0,0.40594059405940597
random,seed_20260921,120,A_strict_38,main,distance,0.7,3.6933402682486505,0.7029702970297029,101,71,30,0.7029702970297029,1.0,0.7142857142857143,1.0,0.0,0.29702970297029707
random,seed_20260921,120,A_strict_38,main,distance,0.8,4.554639862668182,0.801980198019802,101,74,27,0.7326732673267327,1.0,0.7142857142857143,1.0,0.0,0.26732673267326734
random,seed_20260921,120,A_strict_38,main,distance,0.9,7.493087920554229,0.900990099009901,101,86,15,0.8514851485148515,1.0,0.7142857142857143,1.0,0.0,0.14851485148514854
random,seed_20260921,120,A_strict_38,main,distance,1.0,151.90669283232035,1.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20261930,120,A_strict_38,main,probability,0.5,0.9342605452463102,0.6633663366336634,101,61,40,0.6039603960396039,1.0,0.7142857142857143,1.0,0.0,0.39603960396039606
random,seed_20261930,120,A_strict_38,main,probability,0.6,0.9342605452463102,0.6633663366336634,101,61,40,0.6039603960396039,1.0,0.7142857142857143,1.0,0.0,0.39603960396039606
random,seed_20261930,120,A_strict_38,main,probability,0.7,0.9338885566505433,0.7029702970297029,101,64,37,0.6336633663366337,1.0,0.7142857142857143,1.0,0.0,0.36633663366336633
random,seed_20261930,120,A_strict_38,main,probability,0.8,0.9319294782348455,0.8118811881188119,101,76,25,0.7524752475247525,1.0,0.7142857142857143,1.0,0.0,0.24752475247524752
random,seed_20261930,120,A_strict_38,main,probability,0.9,0.9213904503170385,0.9108910891089109,101,86,15,0.8514851485148515,1.0,0.8571428571428571,1.0,0.0,0.14851485148514854
random,seed_20261930,120,A_strict_38,main,probability,1.0,0.4411649688655744,1.0,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,0.00990099009900991
random,seed_20261930,120,A_strict_38,main,margin,0.5,0.9160371102199039,0.6039603960396039,101,59,42,0.5841584158415841,1.0,0.7142857142857143,1.0,0.0,0.4158415841584159
random,seed_20261930,120,A_strict_38,main,margin,0.6,0.9160371102199039,0.6039603960396039,101,59,42,0.5841584158415841,1.0,0.7142857142857143,1.0,0.0,0.4158415841584159
random,seed_20261930,120,A_strict_38,main,margin,0.7,0.9154253953499228,0.7029702970297029,101,60,41,0.594059405940594,1.0,0.7142857142857143,1.0,0.0,0.40594059405940597
random,seed_20261930,120,A_strict_38,main,margin,0.8,0.9116056925016582,0.8118811881188119,101,76,25,0.7524752475247525,1.0,0.7142857142857143,1.0,0.0,0.24752475247524752
random,seed_20261930,120,A_strict_38,main,margin,0.9,0.8942899580798005,0.9108910891089109,101,87,14,0.8613861386138614,1.0,0.8571428571428571,1.0,0.0,0.13861386138613863
random,seed_20261930,120,A_strict_38,main,margin,1.0,0.014824061650340725,1.0,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,0.0
random,seed_20261930,120,A_strict_38,main,distance,0.5,2.266221547599272,0.504950495049505,101,47,54,0.46534653465346537,1.0,0.5714285714285714,1.0,0.0,0.5346534653465347
random,seed_20261930,120,A_strict_38,main,distance,0.6,2.8187007320526734,0.6039603960396039,101,58,43,0.5742574257425742,1.0,0.5714285714285714,1.0,0.0,0.4257425742574258
random,seed_20261930,120,A_strict_38,main,distance,0.7,3.586529283138151,0.7029702970297029,101,65,36,0.6435643564356436,1.0,0.5714285714285714,1.0,0.0,0.3564356435643564
random,seed_20261930,120,A_strict_38,main,distance,0.8,5.848703070791803,0.801980198019802,101,79,22,0.7821782178217822,0.9873417721518988,0.7071024512884978,0.990909090909091,0.012658227848101222,0.2178217821782178
