record_type,left,right,count,source,sha256
set,family_classifier_train,,241,protocol/development_train,af642b5209cc8ee7a8fae3d559b9add80cca2c88301d601616220a765d8007be
set,family_classifier_validation,,81,protocol/development_validation,5536b65b1c4ae42516579abdd2accca4a3308d5ebe94269b64a331dac30f483d
set,probability_calibrator_fit,,82,protocol/calibration,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
set,conformal_calibration,,82,protocol/calibration,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
set,distance_ood_fit,,241,protocol/development_train,af642b5209cc8ee7a8fae3d559b9add80cca2c88301d601616220a765d8007be
set,distance_threshold_calibration,,82,protocol/calibration,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
set,loca_severity_train,,37,protocol/development_train/LOCA,13b3e4dcc76beeedc58c187321917234d59eadc752c7b886e1cbfa622c16a017
set,loca_severity_validation,,12,protocol/development_validation/LOCA,9fdf62846d83d46dc86f1098ec3a58bc5820010b2af1a31ffcc2be3dcc2c1a68
set,release_evaluation_test,,101,locked release test,575b19ec801f2098fa524810cf2270b6f3ea06c81e35502f693458ed8696f6e8
intersection,family_classifier_train,family_classifier_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_train,probability_calibrator_fit,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_train,conformal_calibration,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_train,distance_ood_fit,241,,af642b5209cc8ee7a8fae3d559b9add80cca2c88301d601616220a765d8007be
intersection,family_classifier_train,distance_threshold_calibration,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_train,loca_severity_train,37,,13b3e4dcc76beeedc58c187321917234d59eadc752c7b886e1cbfa622c16a017
intersection,family_classifier_train,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_train,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,probability_calibrator_fit,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,conformal_calibration,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,distance_ood_fit,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,distance_threshold_calibration,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,loca_severity_train,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,family_classifier_validation,loca_severity_validation,12,,9fdf62846d83d46dc86f1098ec3a58bc5820010b2af1a31ffcc2be3dcc2c1a68
intersection,family_classifier_validation,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,probability_calibrator_fit,conformal_calibration,82,,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
intersection,probability_calibrator_fit,distance_ood_fit,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,probability_calibrator_fit,distance_threshold_calibration,82,,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
intersection,probability_calibrator_fit,loca_severity_train,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,probability_calibrator_fit,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,probability_calibrator_fit,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,conformal_calibration,distance_ood_fit,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,conformal_calibration,distance_threshold_calibration,82,,6c25ebb18aa549da123752ab3e52881a6832be253902b4ca52a9d8ac3c3e33cd
intersection,conformal_calibration,loca_severity_train,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,conformal_calibration,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,conformal_calibration,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_ood_fit,distance_threshold_calibration,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_ood_fit,loca_severity_train,37,,13b3e4dcc76beeedc58c187321917234d59eadc752c7b886e1cbfa622c16a017
intersection,distance_ood_fit,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_ood_fit,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_threshold_calibration,loca_severity_train,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_threshold_calibration,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,distance_threshold_calibration,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,loca_severity_train,loca_severity_validation,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,loca_severity_train,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
intersection,loca_severity_validation,release_evaluation_test,0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
