sample_id,family_top1_match,status_match,conformal_set_match,ood_warning_match,severity_status_match,discrete_decisions_match,family_confidence_abs_delta,distance_abs_delta,float_values_within_1e-9
FLB_10,True,True,True,True,True,True,0.0,0.0,True
FLB_12,True,True,True,True,True,True,0.0,0.0,True
FLB_14,True,True,True,True,True,True,0.0,0.0,True
FLB_25,True,True,True,True,True,True,0.0,0.0,True
FLB_36,True,True,True,True,True,True,0.0,0.0,True
FLB_38,True,True,True,True,True,True,0.0,0.0,True
FLB_40,True,True,True,True,True,True,0.0,0.0,True
FLB_41,True,True,True,True,True,True,0.0,0.0,True
FLB_52,True,True,True,True,True,True,0.0,0.0,True
FLB_55,True,True,True,True,True,True,0.0,0.0,True
FLB_60,True,True,True,True,True,True,0.0,0.0,True
FLB_62,True,True,True,True,True,True,0.0,0.0,True
FLB_63,True,True,True,True,True,True,0.0,0.0,True
FLB_66,True,True,True,True,True,True,0.0,0.0,True
FLB_72,True,True,True,True,True,True,0.0,0.0,True
FLB_8,True,True,True,True,True,True,0.0,0.0,True
FLB_81,True,True,True,True,True,True,0.0,0.0,True
FLB_83,True,True,True,True,True,True,0.0,0.0,True
FLB_85,True,True,True,True,True,True,0.0,0.0,True
FLB_92,True,True,True,True,True,True,0.0,0.0,True
LOCAC_12,True,True,True,True,True,True,0.0,0.0,True
LOCAC_19,True,True,True,True,True,True,0.0,0.0,True
LOCAC_20,True,True,True,True,True,True,0.0,0.0,True
LOCAC_24,True,True,True,True,True,True,0.0,0.0,True
LOCAC_25,True,True,True,True,True,True,0.0,0.0,True
LOCAC_27,True,True,True,True,True,True,0.0,0.0,True
LOCAC_3,True,True,True,True,True,True,0.0,0.0,True
LOCAC_31,True,True,True,True,True,True,0.0,0.0,True
LOCAC_33,True,True,True,True,True,True,0.0,0.0,True
LOCAC_39,True,True,True,True,True,True,0.0,0.0,True
LOCAC_53,True,True,True,True,True,True,0.0,0.0,True
LOCAC_54,True,True,True,True,True,True,0.0,0.0,True
LOCAC_67,True,True,True,True,True,True,0.0,0.0,True
LOCAC_71,True,True,True,True,True,True,0.0,0.0,True
LOCAC_77,True,True,True,True,True,True,0.0,0.0,True
LOCAC_9,True,True,True,True,True,True,0.0,0.0,True
LOCA_16,True,True,True,True,True,True,0.0,0.0,True
LOCA_19,True,True,True,True,True,True,0.0,0.0,True
LOCA_23,True,True,True,True,True,True,0.0,0.0,True
LOCA_40,True,True,True,True,True,True,0.0,0.0,True
LOCA_41,True,True,True,True,True,True,0.0,0.0,True
LOCA_42,True,True,True,True,True,True,0.0,0.0,True
LOCA_46,True,True,True,True,True,True,0.0,0.0,True
LOCA_48,True,True,True,True,True,True,0.0,0.0,True
LOCA_5,True,True,True,True,True,True,0.0,0.0,True
LOCA_59,True,True,True,True,True,True,0.0,0.0,True
LOCA_69,True,True,True,True,True,True,0.0,0.0,True
LOCA_70,True,True,True,True,True,True,0.0,0.0,True
LOCA_73,True,True,True,True,True,True,0.0,0.0,True
LOCA_75,True,True,True,True,True,True,0.0,0.0,True
LOCA_77,True,True,True,True,True,True,0.0,0.0,True
LR_79,True,True,True,True,True,True,0.0,0.0,True
LR_80,True,True,True,True,True,True,0.0,0.0,True
LR_93,True,True,True,True,True,True,0.0,0.0,True
LR_95,True,True,True,True,True,True,0.0,0.0,True
LR_97,True,True,True,True,True,True,0.0,0.0,True
RI_-20,True,True,True,True,True,True,0.0,0.0,True
