feature,variable,statistic,importance,mean_delta_neg_log_loss,std_delta_neg_log_loss,n_repeats,method,score_layer,cohort
P__std,P,std,0.46258670284043435,0.46258670284043435,0.03770614656324308,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
WSTA__std,WSTA,std,0.1035251947169775,0.1035251947169775,0.015956519243926437,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
P__last,P,last,0.037385645481623764,0.037385645481623764,0.005743547884399717,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TAVG__last,TAVG,last,0.015149161357340646,0.015149161357340646,0.0015550723144107618,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
WFWA__last,WFWA,last,0.01434335339062252,0.01434335339062252,0.0016124062832292925,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
LSGA__last,LSGA,last,0.006957407075543108,0.006957407075543108,0.0005937172505576491,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
QMWT__std,QMWT,std,0.0053543830127422126,0.0053543830127422126,0.0016415209475970664,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
NSGB__last,NSGB,last,0.003618162357946239,0.003618162357946239,0.0010292196168055737,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
LSGB__mean,LSGB,mean,0.0036086769112927864,0.0036086769112927864,0.00022947158292492556,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TCB__slope,TCB,slope,0.0020646699288048775,0.0020646699288048775,0.0002496072700362178,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TCB__delta_t0,TCB,delta_t0,0.002061528691019214,0.002061528691019214,0.00022955129522471353,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
PSGB__mean,PSGB,mean,0.002028732508779497,0.002028732508779497,0.000159842651987816,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
LSGA__mean,LSGA,mean,0.001237794019231869,0.001237794019231869,0.00011965372884551309,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
PSGA__std,PSGA,std,0.001053706585060718,0.001053706585060718,2.5353751041437252e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
QMGB__slope,QMGB,slope,0.0007976389555355268,0.0007976389555355268,0.00023464344628418483,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
RH__last,RH,last,0.0006833122403730425,0.0006833122403730425,0.00016399515269972098,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
PSGA__slope,PSGA,slope,0.0004490667747961446,0.0004490667747961446,9.115290370166821e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TCA__last,TCA,last,0.0003803150323077498,0.0003803150323077498,2.48256605059061e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TCB__std,TCB,std,0.0003690556216015883,0.0003690556216015883,6.657905099324283e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
WSTA__mean,WSTA,mean,0.00022539433688962467,0.00022539433688962467,3.336980945589778e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
THA__last,THA,last,0.00019310836355235846,0.00019310836355235846,3.440705355747092e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
NSGA__last,NSGA,last,0.00014958580881836345,0.00014958580881836345,1.9730249642019936e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
WSTA__last,WSTA,last,0.00011811536869170549,0.00011811536869170549,6.499662032414291e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
LSGA__slope,LSGA,slope,9.299441295313024e-05,9.299441295313024e-05,2.4064267036726572e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
THA__mean,THA,mean,7.530694146746733e-05,7.530694146746733e-05,2.5444022769508452e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
WSTB__last,WSTB,last,6.859160916357723e-05,1.994704520640305e-05,7.047432849523664e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
RHMT__last,RHMT,last,6.695788937119217e-05,6.695788937119217e-05,1.6928258344986836e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
NSGA__slope,NSGA,slope,6.0653031748443965e-05,5.6975394944312405e-05,3.815158204866866e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
LSGB__std,LSGB,std,5.409066329455027e-05,4.98600628321145e-05,2.6714538120431036e-05,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
TCA__std,TCA,std,5.202944661417434e-05,5.202944661417434e-05,9.675359790744813e-06,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
QMGA__last,QMGA,last,2.059713230306582e-05,2.059713230306582e-05,9.162478267131222e-06,8,permutation_importance,base_classifier_neg_log_loss,locked_release_test
