variable,importance,mean_delta_neg_log_loss,engineered_feature_count,aggregation,method,cohort
P,0.4999723483220581,0.4999723483220581,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WSTA,0.10386870442255884,0.10386870442255884,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TAVG,0.01515184635592731,0.01515184635592731,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WFWA,0.01434335339062252,0.01434335339062252,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
LSGA,0.008288195507728108,0.008288195507728108,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
QMWT,0.0053543830127422126,0.0053543830127422126,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TCB,0.0044952542414256795,0.0044952542414256795,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
LSGB,0.003662767574587337,0.003658536974124901,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
NSGB,0.0036193687167529894,0.0036190988329926187,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
PSGB,0.002028732508779497,0.002028732508779497,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
PSGA,0.0015027733598568624,0.0015027733598568624,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
QMGB,0.0007976389555355268,0.0007976389555355268,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RH,0.0006833122403730425,0.0006833122403730425,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TCA,0.0004323444789219241,0.0004323444789219241,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
THA,0.0002684153050198258,0.0002684153050198258,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
NSGA,0.00021023884056680742,0.00020656120376267586,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WSTB,6.859160916357723e-05,1.994704520640305e-05,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RHMT,6.695788937119217e-05,6.695788937119217e-05,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
QMGA,2.059713230306582e-05,2.059713230306582e-05,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WFWB,1.2501186840074277e-05,1.2501186840074277e-05,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
LVCR,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
LVPZ,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
PPM,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
PWNT,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
PWR,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RHBR,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RHFL,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RRCA,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RRCB,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
RRCO,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TF,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TFPK,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TFSB,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
THB,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
TSAT,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
VOL,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WRCA,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
WRCB,0.0,0.0,5,sum across last/delta_t0/mean/std/slope,permutation_importance,locked_release_test
