sample_id,status,predicted_family,conformal_set,distance_score,distance_threshold,ood_warning,top_ood_features,top_ood_variables,ood_direction,maximum_calibrated_probability,top2_margin,nonconformity_of_top1,unknown_interpretation
FLB_10,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_12,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_14,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_25,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_36,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_38,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_40,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_41,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_52,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
FLB_55,accepted,feedwater_line_break,"[""feedwater_line_break""]",1.0000000000000004,3.0417115477851966,False,"[""P__std"", ""VOL__last"", ""TSAT__slope"", ""TSAT__delta_t0"", ""P__slope"", ""VOL__delta_t0"", ""VOL__std"", ""P__delta_t0"", ""VOL__mean"", ""WSTB__last""]","[""P"", ""VOL"", ""TSAT"", ""WSTB"", ""WFWA""]","[{""P"": ""below_class_center""}, {""VOL"": ""below_class_center""}, {""TSAT"": ""below_class_center""}, {""WSTB"": ""below_class_center""}, {""WFWA"": ""above_class_center""}]",0.9076882515834948,0.8663771402589007,0.09231174841650525,Calibrated probability and conformal membership summary.
