sample_id,severity,feature_group,method,threshold,detection_time_s,first_protection_time_s,lead_time_s,detected,detected_before_protection,earliest_valid_feature_time_s,earliest_possible_confirmed_alarm_s
LOCA_001,1,A_static,mahalanobis,151.41497834288162,2060.0,2031.5,-28.5,True,False,0.0,30.0
LOCA_002,2,A_static,mahalanobis,151.41497834288162,1120.0,1094.5,-25.5,True,False,0.0,30.0
LOCA_003,3,A_static,mahalanobis,151.41497834288162,770.0,790.5,20.5,True,True,0.0,30.0
LOCA_004,4,A_static,mahalanobis,151.41497834288162,550.0,569.0,19.0,True,True,0.0,30.0
LOCA_005,5,A_static,mahalanobis,151.41497834288162,440.0,417.5,-22.5,True,False,0.0,30.0
LOCA_006,6,A_static,mahalanobis,151.41497834288162,370.0,340.0,-30.0,True,False,0.0,30.0
LOCA_007,7,A_static,mahalanobis,151.41497834288162,320.0,293.5,-26.5,True,False,0.0,30.0
LOCA_008,8,A_static,mahalanobis,151.41497834288162,290.0,262.5,-27.5,True,False,0.0,30.0
LOCA_009,9,A_static,mahalanobis,151.41497834288162,270.0,240.5,-29.5,True,False,0.0,30.0
LOCA_010,10,A_static,mahalanobis,151.41497834288162,250.0,224.0,-26.0,True,False,0.0,30.0
LOCA_011,11,A_static,mahalanobis,151.41497834288162,240.0,211.0,-29.0,True,False,0.0,30.0
LOCA_012,12,A_static,mahalanobis,151.41497834288162,230.0,200.5,-29.5,True,False,0.0,30.0
LOCA_013,13,A_static,mahalanobis,151.41497834288162,220.0,192.0,-28.0,True,False,0.0,30.0
LOCA_014,14,A_static,mahalanobis,151.41497834288162,210.0,185.0,-25.0,True,False,0.0,30.0
LOCA_015,15,A_static,mahalanobis,151.41497834288162,200.0,179.0,-21.0,True,False,0.0,30.0
LOCA_016,16,A_static,mahalanobis,151.41497834288162,200.0,174.0,-26.0,True,False,0.0,30.0
LOCA_017,17,A_static,mahalanobis,151.41497834288162,190.0,169.5,-20.5,True,False,0.0,30.0
LOCA_018,18,A_static,mahalanobis,151.41497834288162,190.0,166.0,-24.0,True,False,0.0,30.0
LOCA_019,19,A_static,mahalanobis,151.41497834288162,190.0,162.5,-27.5,True,False,0.0,30.0
LOCA_020,20,A_static,mahalanobis,151.41497834288162,180.0,159.5,-20.5,True,False,0.0,30.0
LOCA_021,21,A_static,mahalanobis,151.41497834288162,180.0,156.5,-23.5,True,False,0.0,30.0
