sample_id,severity,method,threshold,detection_time_s,first_protection_time_s,lead_time_s,detected,detected_before_protection
LOCA_001,1,robust_z_score,6.979691751212108,2080.0,2031.5,-48.5,True,False
LOCA_001,1,mahalanobis,151.41497834288162,2060.0,2031.5,-28.5,True,False
LOCA_001,1,pca_reconstruction_error,15.118719715541957,2060.0,2031.5,-28.5,True,False
LOCA_002,2,robust_z_score,6.979691751212108,1130.0,1094.5,-35.5,True,False
LOCA_002,2,mahalanobis,151.41497834288162,1120.0,1094.5,-25.5,True,False
LOCA_002,2,pca_reconstruction_error,15.118719715541957,1120.0,1094.5,-25.5,True,False
LOCA_003,3,robust_z_score,6.979691751212108,830.0,790.5,-39.5,True,False
LOCA_003,3,mahalanobis,151.41497834288162,770.0,790.5,20.5,True,True
LOCA_003,3,pca_reconstruction_error,15.118719715541957,820.0,790.5,-29.5,True,False
LOCA_004,4,robust_z_score,6.979691751212108,600.0,569.0,-31.0,True,False
LOCA_004,4,mahalanobis,151.41497834288162,550.0,569.0,19.0,True,True
LOCA_004,4,pca_reconstruction_error,15.118719715541957,590.0,569.0,-21.0,True,False
LOCA_005,5,robust_z_score,6.979691751212108,450.0,417.5,-32.5,True,False
LOCA_005,5,mahalanobis,151.41497834288162,440.0,417.5,-22.5,True,False
LOCA_005,5,pca_reconstruction_error,15.118719715541957,440.0,417.5,-22.5,True,False
LOCA_006,6,robust_z_score,6.979691751212108,370.0,340.0,-30.0,True,False
LOCA_006,6,mahalanobis,151.41497834288162,370.0,340.0,-30.0,True,False
LOCA_006,6,pca_reconstruction_error,15.118719715541957,370.0,340.0,-30.0,True,False
LOCA_007,7,robust_z_score,6.979691751212108,330.0,293.5,-36.5,True,False
LOCA_007,7,mahalanobis,151.41497834288162,320.0,293.5,-26.5,True,False
LOCA_007,7,pca_reconstruction_error,15.118719715541957,320.0,293.5,-26.5,True,False
LOCA_008,8,robust_z_score,6.979691751212108,300.0,262.5,-37.5,True,False
LOCA_008,8,mahalanobis,151.41497834288162,290.0,262.5,-27.5,True,False
LOCA_008,8,pca_reconstruction_error,15.118719715541957,290.0,262.5,-27.5,True,False
LOCA_009,9,robust_z_score,6.979691751212108,270.0,240.5,-29.5,True,False
LOCA_009,9,mahalanobis,151.41497834288162,270.0,240.5,-29.5,True,False
LOCA_009,9,pca_reconstruction_error,15.118719715541957,270.0,240.5,-29.5,True,False
LOCA_010,10,robust_z_score,6.979691751212108,260.0,224.0,-36.0,True,False
LOCA_010,10,mahalanobis,151.41497834288162,250.0,224.0,-26.0,True,False
LOCA_010,10,pca_reconstruction_error,15.118719715541957,250.0,224.0,-26.0,True,False
LOCA_011,11,robust_z_score,6.979691751212108,250.0,211.0,-39.0,True,False
LOCA_011,11,mahalanobis,151.41497834288162,240.0,211.0,-29.0,True,False
LOCA_011,11,pca_reconstruction_error,15.118719715541957,240.0,211.0,-29.0,True,False
LOCA_012,12,robust_z_score,6.979691751212108,240.0,200.5,-39.5,True,False
LOCA_012,12,mahalanobis,151.41497834288162,230.0,200.5,-29.5,True,False
LOCA_012,12,pca_reconstruction_error,15.118719715541957,230.0,200.5,-29.5,True,False
LOCA_013,13,robust_z_score,6.979691751212108,230.0,192.0,-38.0,True,False
LOCA_013,13,mahalanobis,151.41497834288162,220.0,192.0,-28.0,True,False
LOCA_013,13,pca_reconstruction_error,15.118719715541957,220.0,192.0,-28.0,True,False
LOCA_014,14,robust_z_score,6.979691751212108,220.0,185.0,-35.0,True,False
LOCA_014,14,mahalanobis,151.41497834288162,210.0,185.0,-25.0,True,False
LOCA_014,14,pca_reconstruction_error,15.118719715541957,210.0,185.0,-25.0,True,False
LOCA_015,15,robust_z_score,6.979691751212108,210.0,179.0,-31.0,True,False
LOCA_015,15,mahalanobis,151.41497834288162,200.0,179.0,-21.0,True,False
LOCA_015,15,pca_reconstruction_error,15.118719715541957,200.0,179.0,-21.0,True,False
LOCA_016,16,robust_z_score,6.979691751212108,210.0,174.0,-36.0,True,False
LOCA_016,16,mahalanobis,151.41497834288162,200.0,174.0,-26.0,True,False
LOCA_016,16,pca_reconstruction_error,15.118719715541957,200.0,174.0,-26.0,True,False
LOCA_017,17,robust_z_score,6.979691751212108,200.0,169.5,-30.5,True,False
LOCA_017,17,mahalanobis,151.41497834288162,190.0,169.5,-20.5,True,False
LOCA_017,17,pca_reconstruction_error,15.118719715541957,190.0,169.5,-20.5,True,False
LOCA_018,18,robust_z_score,6.979691751212108,200.0,166.0,-34.0,True,False
LOCA_018,18,mahalanobis,151.41497834288162,190.0,166.0,-24.0,True,False
LOCA_018,18,pca_reconstruction_error,15.118719715541957,190.0,166.0,-24.0,True,False
