sample_id,severity,source_file,report_file,report_exists,injection_s,hpi_pump_1_s,hpi_pump_2_s,hpsi_start_s,scram_s,fw_isolation_s,ctmt_spray_s,accumulator_1_s,sump_recirc_s,core_uncovered_s,first_protection_s,whpi_first_positive_s,report_hpi_minus_whpi_s
LOCA_001,1,1.csv,1Transient Report.txt,True,0.5,2031.5,2031.5,2031.5,2032.5,,2031.5,,,,2031.5,2040.0,-8.5
LOCA_002,2,2.csv,2Transient Report.txt,True,0.5,1094.5,1094.5,1094.5,1095.5,,1094.5,,3930.0,,1094.5,1100.0,-5.5
LOCA_003,3,3.csv,3Transient Report.txt,True,0.5,790.5,790.5,790.5,791.5,,790.5,,3604.0,,790.5,800.0,-9.5
LOCA_004,4,4.csv,4Transient Report.txt,True,0.5,577.0,577.0,,569.0,,677.5,,3481.5,,569.0,580.0,-3.0
LOCA_005,5,5.csv,5Transient Report.txt,True,0.5,427.0,427.0,,417.5,,622.5,,3419.5,,417.5,430.0,-3.0
LOCA_006,6,6.csv,6Transient Report.txt,True,0.5,350.5,350.5,,340.0,,560.0,,3349.5,,340.0,360.0,-9.5
LOCA_007,7,7.csv,7Transient Report.txt,True,0.5,304.5,304.5,,293.5,,510.0,,3293.0,,293.5,310.0,-5.5
LOCA_008,8,8.csv,8Transient Report.txt,True,0.5,274.0,274.0,274.0,262.5,,467.0,,3245.5,,262.5,280.0,-6.0
LOCA_009,9,9.csv,9Transient Report.txt,True,0.5,252.0,252.0,252.0,240.5,,431.5,,3207.0,,240.5,260.0,-8.0
LOCA_010,10,10.csv,10Transient Report.txt,True,0.5,235.5,235.5,235.5,224.0,,402.0,,3176.0,,224.0,240.0,-4.5
LOCA_011,11,11.csv,11Transient Report.txt,True,0.5,222.0,222.0,222.0,211.0,,377.5,,3151.0,,211.0,230.0,-8.0
LOCA_012,12,12.csv,12Transient Report.txt,True,0.5,211.5,211.5,211.5,200.5,,356.0,,3129.0,,200.5,220.0,-8.5
LOCA_013,13,13.csv,13Transient Report.txt,True,0.5,203.0,203.0,203.0,192.0,,337.5,,3111.0,,192.0,210.0,-7.0
LOCA_014,14,14.csv,14Transient Report.txt,True,0.5,196.0,196.0,196.0,185.0,,321.5,,3095.0,,185.0,200.0,-4.0
LOCA_015,15,15.csv,15Transient Report.txt,True,0.5,189.5,189.5,189.5,179.0,,307.0,,3080.5,,179.0,190.0,-0.5
LOCA_016,16,16.csv,16Transient Report.txt,True,0.5,184.5,184.5,184.5,174.0,,295.0,,3069.0,,174.0,190.0,-5.5
LOCA_017,17,17.csv,17Transient Report.txt,True,0.5,180.0,180.0,180.0,169.5,,283.5,,3057.5,,169.5,180.0,0.0
LOCA_018,18,18.csv,18Transient Report.txt,True,0.5,176.0,176.0,176.0,166.0,,273.5,,3048.0,,166.0,180.0,-4.0
LOCA_019,19,19.csv,19Transient Report.txt,True,0.5,172.5,172.5,172.5,162.5,,264.5,,3039.0,,162.5,180.0,-7.5
LOCA_020,20,20.csv,20Transient Report.txt,True,0.5,169.5,169.5,169.5,159.5,,256.5,,3031.0,,159.5,170.0,-0.5
LOCA_021,21,21.csv,21Transient Report.txt,True,0.5,166.5,166.5,166.5,156.5,,249.0,,3023.5,,156.5,170.0,-3.5
LOCA_022,22,22.csv,22Transient Report.txt,True,0.5,164.0,164.0,164.0,154.5,,242.0,,3016.0,,154.5,170.0,-6.0
LOCA_023,23,23.csv,23Transient Report.txt,True,0.5,161.5,161.5,161.5,152.0,4006.0,236.0,,3010.0,,152.0,170.0,-8.5
LOCA_024,24,24.csv,24Transient Report.txt,True,0.5,159.5,159.5,159.5,150.0,3596.5,230.0,,3003.5,,150.0,160.0,-0.5
LOCA_025,25,25.csv,25Transient Report.txt,True,0.5,157.5,157.5,157.5,148.0,3252.0,225.0,,2998.5,,148.0,160.0,-2.5
LOCA_026,26,26.csv,26Transient Report.txt,True,0.5,156.0,156.0,156.0,146.5,2791.0,220.5,,2993.0,,146.5,160.0,-4.0
LOCA_027,27,27.csv,27Transient Report.txt,True,0.5,154.0,154.0,154.0,145.0,2471.0,215.5,,2987.5,,145.0,160.0,-6.0
LOCA_028,28,28.csv,28Transient Report.txt,True,0.5,152.5,152.5,152.5,143.5,2215.5,211.5,,2983.0,,143.5,160.0,-7.5
LOCA_029,29,29.csv,29Transient Report.txt,True,0.5,151.0,151.0,151.0,142.0,1991.0,208.0,,2978.5,,142.0,160.0,-9.0
LOCA_030,30,30.csv,30Transient Report.txt,True,0.5,150.0,150.0,150.0,141.0,1795.0,203.5,,2973.5,,141.0,150.0,0.0
LOCA_031,31,31.csv,31Transient Report.txt,True,0.5,148.5,148.5,148.5,140.0,1659.5,200.5,,2970.0,,140.0,150.0,-1.5
LOCA_032,32,32.csv,32Transient Report.txt,True,0.5,147.5,147.5,147.5,139.0,1555.0,197.0,,2966.5,,139.0,150.0,-2.5
LOCA_033,33,33.csv,33Transient Report.txt,True,0.5,146.5,146.5,146.5,138.0,1439.0,194.0,,2963.0,,138.0,150.0,-3.5
