sample_id,severity,severity_unit,source_file,rows,time_end_s,P_first_deviation_s,P_peak_score_early,TAVG_first_deviation_s,TAVG_peak_score_early,LVPZ_first_deviation_s,LVPZ_peak_score_early,WECS_first_deviation_s,WECS_peak_score_early,PWR_first_deviation_s,PWR_peak_score_early,SCMA_first_deviation_s,SCMA_peak_score_early,TRB_first_deviation_s,TRB_peak_score_early,PRB_first_deviation_s,PRB_peak_score_early,LWRB_first_deviation_s,LWRB_peak_score_early,PRBA_first_deviation_s,PRBA_peak_score_early,DNBR_first_deviation_s,DNBR_peak_score_early,indirect_composite_first_deviation_s,indirect_features,hpi_pump_start_s,scram_s,whpi_first_positive_s,lead_time_to_hpi_s,lead_time_to_scram_s
LOCA_001,1,% of 100 cm2 break area,1.csv,475,4740.0,60.0,5.134472576104596,100.0,3.5927051157513143,30.0,31.941432337607107,20.0,8.864735517277358,30.0,11.269191359213272,30.0,30.967634501516812,40.0,42.185272216796875,50.0,25.251443395015873,60.0,15.094251340284998,100.0,6.526826047670737,30.0,25.322303475135627,40.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",2031.5,2032.5,2040.0,1991.5,1992.5
LOCA_002,2,% of 100 cm2 break area,2.csv,471,4700.0,120.0,26.48486259225636,100.0,5.130328178120243,50.0,54.6850327522524,20.0,12.073346392111366,30.0,11.295555135394103,30.0,32.50075785424384,30.0,42.091064453125,40.0,25.170118221254505,40.0,542.2211910618063,60.0,6.51245012633323,30.0,814.8426648560286,40.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",1094.5,1095.5,1100.0,1054.5,1055.5
LOCA_003,3,% of 100 cm2 break area,3.csv,458,4570.0,70.0,29.146154758793703,100.0,5.469923858017787,30.0,55.35882519137475,20.0,12.073346392111366,30.0,11.299452124804928,30.0,33.405925942451574,30.0,41.80342102050781,30.0,24.921923106321884,40.0,724.3645324924311,50.0,6.4687504806763565,30.0,876.1252060692915,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",790.5,791.5,800.0,760.5,761.5
LOCA_004,4,% of 100 cm2 break area,4.csv,452,4510.0,40.0,30.185401314731312,70.0,6.5306611837200235,30.0,60.18585697297127,20.0,12.073346392111366,30.0,10.563475469101778,30.0,29.371296725017043,30.0,40.27978515625,30.0,23.602804346550382,40.0,792.3400576317347,40.0,6.232201827155254,30.0,918.7283357218133,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",577.0,569.0,580.0,547.0,539.0
LOCA_005,5,% of 100 cm2 break area,5.csv,449,4480.0,30.0,30.38719776287438,60.0,7.451206850221053,30.0,64.04053472703504,20.0,12.073346392111366,30.0,10.569157138657816,30.0,30.3185771313058,30.0,41.85945129394531,30.0,24.969791283449357,30.0,826.5132502623351,40.0,6.476730530289414,30.0,946.2160792694862,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",427.0,417.5,430.0,397.0,387.5
LOCA_006,6,% of 100 cm2 break area,6.csv,450,4490.0,30.0,34.413583260575656,50.0,7.576064278264263,30.0,74.0780245873236,20.0,17.535518849738462,30.0,9.226542680130503,30.0,26.361055924279086,30.0,39.816009521484375,30.0,23.201562494775946,30.0,870.0329285879692,40.0,6.160519421034885,30.0,947.2173099134995,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",350.5,340.0,360.0,320.5,310.0
LOCA_007,7,% of 100 cm2 break area,7.csv,443,4420.0,30.0,40.38082989187966,50.0,8.118909831573289,30.0,74.0780245873236,20.0,17.746555295491696,30.0,7.2949749176724925,30.0,35.28683617512709,30.0,42.24853515625,30.0,25.306251996669054,30.0,906.7016486347709,40.0,6.536666355966216,30.0,944.6889995365933,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",304.5,293.5,310.0,274.5,263.5
LOCA_008,8,% of 100 cm2 break area,8.csv,440,4390.0,30.0,45.60537413376493,40.0,8.051179545650369,30.0,84.06762153871598,20.0,17.843816258374975,30.0,8.298761120063533,30.0,44.46218910567729,30.0,40.11430358886719,30.0,23.459545683499808,30.0,939.0624427236585,40.0,6.206526313326195,30.0,936.0823835068403,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",274.0,262.5,280.0,244.0,232.5
LOCA_009,9,% of 100 cm2 break area,9.csv,430,4290.0,30.0,48.94428176666272,40.0,7.9320072911859345,30.0,84.06762153871598,20.0,17.9462473104901,30.0,8.386638775598087,60.0,50.71123657792173,30.0,40.595367431640625,30.0,23.87613256026381,30.0,967.1493451088279,30.0,6.281331061758077,30.0,927.0269045038394,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",252.0,240.5,260.0,222.0,210.5
LOCA_010,10,% of 100 cm2 break area,10.csv,425,4240.0,30.0,52.17519858994198,40.0,8.297304283473377,30.0,84.06762153871598,20.0,18.072698629355344,30.0,8.427558201212724,50.0,56.68645849709602,30.0,42.631591796875,30.0,25.63793972690928,30.0,991.226523591669,30.0,6.5962077805089185,30.0,919.3836941640914,30.0,"P,TAVG,LVPZ,WECS,PWR,SCMA,TRB,PRB,LWRB,PRBA,DNBR",235.5,224.0,240.0,205.5,194.0
